species,sample,cellline,sensitivity,group,treatment,pct
PS(16:0_16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.2869312192376738
PS(16:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.6077650053149556
PS(16:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,4.966574321272908
PS(18:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,1.8262939939242688
PS(18:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,30.748602033326165
PS(18:1_18:0),Area[s11-1],A549,Res,Resistant,Ctr,0.36810135806390193
PS(18:0_20:5),Area[s11-1],A549,Res,Resistant,Ctr,0.7487399222724502
PS(18:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,2.0086249835789003
PS(18:0_22:6),Area[s11-1],A549,Res,Resistant,Ctr,2.8233537618340843
PS(18:0_22:5),Area[s11-1],A549,Res,Resistant,Ctr,0.6257113173051319
PS(24:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.4039355969245693
PS(17:0_16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.1937053120838798
PS(O-18:0_17:1),Area[s11-1],A549,Res,Resistant,Ctr,0.6922871134849877
PS(17:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.32343833793595383
PS(16:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.6748515827879156
PS(18:1_18:2),Area[s11-1],A549,Res,Resistant,Ctr,0.7394053959933865
PS(16:0_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.12771374568959765
PS(18:0_20:3),Area[s11-1],A549,Res,Resistant,Ctr,1.826868985207673
PS(20:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,1.732595269351524
PS(22:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.4720244786097615
PS(18:0_22:4),Area[s11-1],A549,Res,Resistant,Ctr,0.6829840023437675
PS(18:0_17:1),Area[s11-1],A549,Res,Resistant,Ctr,4.516199919304879
PS(20:3_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.232832658417927
PS(20:3_22:5),Area[s11-1],A549,Res,Resistant,Ctr,0.01179167512444457
PS(18:1_20:1),Area[s11-1],A549,Res,Resistant,Ctr,0.25265315774013775
PS(18:1_22:1),Area[s11-1],A549,Res,Resistant,Ctr,0.5883347412920858
PS(18:1_24:1),Area[s11-1],A549,Res,Resistant,Ctr,0.30004295942072706
PS(18:1_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.17877460621173333
PS(20:3_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.2842204836912485
PS(16:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,0.08148950609080664
PS(16:0_18:0),Area[s11-1],A549,Res,Resistant,Ctr,0.535613416335848
PS(26:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.06933363572526653
PS(16:0_18:3),Area[s11-1],A549,Res,Resistant,Ctr,0.032624029702578876
PS(16:0_20:5),Area[s11-1],A549,Res,Resistant,Ctr,0.07136824409531003
PS(O-15:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.018427292207609754
PS(O-18:1_21:0),Area[s11-1],A549,Res,Resistant,Ctr,0.9059368043401959
PS(18:0_21:3),Area[s11-1],A549,Res,Resistant,Ctr,2.8108382164362276
PS(18:0_21:4),Area[s11-1],A549,Res,Resistant,Ctr,0.8955902594826155
PS(O-14:0_4:0),Area[s11-1],A549,Res,Resistant,Ctr,0.034640055787938835
PS(O-18:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.0947523753082345
PS(18:3_22:5),Area[s11-1],A549,Res,Resistant,Ctr,0.07615752977529519
PS(17:0_18:0),Area[s11-1],A549,Res,Resistant,Ctr,25.955848346363137
PS(18:0_23:6),Area[s11-1],A549,Res,Resistant,Ctr,0.21821986283274128
PS(16:0_18:4),Area[s11-1],A549,Res,Resistant,Ctr,0.07629031529300387
PS(O-18:0_21:0),Area[s11-1],A549,Res,Resistant,Ctr,1.121758542431292
PS(15:0_22:0),Area[s11-1],A549,Res,Resistant,Ctr,0.7340102703186431
PS(28:0_9:0),Area[s11-1],A549,Res,Resistant,Ctr,0.36513796375145563
PS(18:0_19:2),Area[s11-1],A549,Res,Resistant,Ctr,1.5841767959849775
PS(23:3_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.0940613701016175
PS(17:0_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.024298748450142436
PS(18:3_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.02611995621031299
PS(23:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,2.877021073238227
PS(O-17:1_10:0),Area[s11-1],A549,Res,Resistant,Ctr,0.03002975520417657
PS(18:1_23:1),Area[s11-1],A549,Res,Resistant,Ctr,1.947599312034759
PS(18:1_26:1),Area[s11-1],A549,Res,Resistant,Ctr,0.0732983847509437
PS(16:0_16:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.026774245422849886
PS(16:1_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.12423555016087347
PS(16:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.544112097467578
PS(18:1_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,9.440315436247705
PS(18:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,48.378910817610446
PS(18:1_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.5062135105626658
PS(18:0_20:5),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.520697317924956
PS(18:0_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.2690370505948239
PS(18:0_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.18987205309410468
PS(18:0_22:5),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.22705550581785133
PS(24:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.3972279705226582
PS(17:0_16:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.011571494300392136
PS(O-18:0_17:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.3125577914260619
