species,sample,cellline,sensitivity,group,treatment,pct
Cer(t17:2_6:0),Area[s11-1],A549,Res,Resistant,Ctr,0.002226075315972595
Cer(d18:1_17:2),Area[s11-1],A549,Res,Resistant,Ctr,11.120504653340403
Cer(d13:2_22:1),Area[s11-1],A549,Res,Resistant,Ctr,0.7827458949019617
Cer(d18:1_22:0),Area[s11-1],A549,Res,Resistant,Ctr,1.0203547667833952
Cer(m18:1_24:1),Area[s11-1],A549,Res,Resistant,Ctr,0.8451611641790153
Cer(m18:2_24:0),Area[s11-1],A549,Res,Resistant,Ctr,1.5299177015116232
Cer(d18:1_23:0),Area[s11-1],A549,Res,Resistant,Ctr,0.6310863318195773
Cer(d18:1_24:1),Area[s11-1],A549,Res,Resistant,Ctr,4.167855894215274
Cer(d18:1_24:0),Area[s11-1],A549,Res,Resistant,Ctr,9.867376363019702
Cer(d18:0_24:0),Area[s11-1],A549,Res,Resistant,Ctr,0.5223211688707843
Cer(t18:0_24:0),Area[s11-1],A549,Res,Resistant,Ctr,0.1229503690943817
Cer(d20:1_24:0),Area[s11-1],A549,Res,Resistant,Ctr,1.0827093228761373
Cer(d19:0_31:4),Area[s11-1],A549,Res,Resistant,Ctr,0.062445257691050846
Cer(t16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.0
Cer(d23:2),Area[s11-1],A549,Res,Resistant,Ctr,0.005718889703159974
Cer(d18:1_16:0),Area[s11-1],A549,Res,Resistant,Ctr,2.71934305935323
Cer(d18:1_18:0),Area[s11-1],A549,Res,Resistant,Ctr,0.14835087352728177
Cer(d18:0_22:0),Area[s11-1],A549,Res,Resistant,Ctr,0.13742462495057972
Cer(m18:1_24:0),Area[s11-1],A549,Res,Resistant,Ctr,0.49736630788678615
Cer(d20:1_23:0),Area[s11-1],A549,Res,Resistant,Ctr,0.7013662412877694
Cer(d18:1_24:3),Area[s11-1],A549,Res,Resistant,Ctr,0.8530314977554051
Cer(d18:2_22:0),Area[s11-1],A549,Res,Resistant,Ctr,0.5405350617172577
Cer(d18:2_24:1),Area[s11-1],A549,Res,Resistant,Ctr,1.732640189726033
Cer(d20:1_22:2),Area[s11-1],A549,Res,Resistant,Ctr,0.2788373942894523
Cer(d18:1_26:1),Area[s11-1],A549,Res,Resistant,Ctr,8.487485965994411
