species,sample,cellline,sensitivity,group,treatment,pct
PC(O-5:0_11:0),Area[s11-1],A549,Res,Resistant,Ctr,0.051970007290939334
PC(18:0),Area[s11-1],A549,Res,Resistant,Ctr,3.831022084329194e-05
PC(20:1),Area[s11-1],A549,Res,Resistant,Ctr,0.0
PC(20:0),Area[s11-1],A549,Res,Resistant,Ctr,0.0
PC(25:0CHO),Area[s11-1],A549,Res,Resistant,Ctr,0.0005635361468185116
PC(12:0_14:0),Area[s11-1],A549,Res,Resistant,Ctr,0.0007236242463777788
PC(25:0COOH),Area[s11-1],A549,Res,Resistant,Ctr,0.00012497088079118705
PC(27:1CHO),Area[s11-1],A549,Res,Resistant,Ctr,0.0001044419728684846
PC(12:0_16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.006062514856080489
PC(28:0),Area[s11-1],A549,Res,Resistant,Ctr,1.8830178364540652e-07
PC(14:0_14:0),Area[s11-1],A549,Res,Resistant,Ctr,0.13474102907589006
PC(29:1),Area[s11-1],A549,Res,Resistant,Ctr,0.07801498309256641
PC(14:0_15:0),Area[s11-1],A549,Res,Resistant,Ctr,0.0691937607407174
PC(16:0_11:0COOH),Area[s11-1],A549,Res,Resistant,Ctr,0.0002564921258437246
PC(22:3_8:0),Area[s11-1],A549,Res,Resistant,Ctr,0.0112094883689515
PC(14:1_16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.018554227304857156
PC(30:1),Area[s11-1],A549,Res,Resistant,Ctr,3.675612615150794e-07
PC(14:0_16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.731149193905673
PC(14:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,1.901078373030029
PC(15:0_15:0),Area[s11-1],A549,Res,Resistant,Ctr,0.013041547435421862
PC(31:2),Area[s11-1],A549,Res,Resistant,Ctr,0.1751898059296989
PC(15:0_16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.4790923982672546
PC(31:1),Area[s11-1],A549,Res,Resistant,Ctr,0.2700224737361374
PC(13:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.010015906506604621
PC(O-16:0_16:1),Area[s11-1],A549,Res,Resistant,Ctr,1.0028834259022368
PC(O-32:1),Area[s11-1],A549,Res,Resistant,Ctr,0.009126629795454479
PC(O-20:0_12:1),Area[s11-1],A549,Res,Resistant,Ctr,0.005987245127048237
PC(15:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,0.3209818137890116
PC(31:0),Area[s11-1],A549,Res,Resistant,Ctr,0.3305042032584277
PC(O-16:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,0.951670698193125
PC(O-32:0),Area[s11-1],A549,Res,Resistant,Ctr,0.9650607309810315
PC(32:4),Area[s11-1],A549,Res,Resistant,Ctr,0.04322028734806717
PC(16:1_16:2),Area[s11-1],A549,Res,Resistant,Ctr,0.11059617500486069
PC(32:3),Area[s11-1],A549,Res,Resistant,Ctr,0.11276631256604788
PC(16:1_16:1),Area[s11-1],A549,Res,Resistant,Ctr,1.1335385162515426
PC(14:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.0046586907940611615
PC(17:1_15:0),Area[s11-1],A549,Res,Resistant,Ctr,0.0006756421234068735
PC(14:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,6.480273729158633
PC(16:0_16:1),Area[s11-1],A549,Res,Resistant,Ctr,11.064191427380871
PC(32:1),Area[s11-1],A549,Res,Resistant,Ctr,0.007063535749923831
PC(16:1_16:0),Area[s11-1],A549,Res,Resistant,Ctr,0.03094235497262579
PC(O-33:1),Area[s11-1],A549,Res,Resistant,Ctr,0.0799076099495404
PC(O-15:1_18:0),Area[s11-1],A549,Res,Resistant,Ctr,0.034539927822058274
PC(32:0),Area[s11-1],A549,Res,Resistant,Ctr,0.6061313972893673
PC(16:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,2.970351781856651
PC(21:0_11:0),Area[s11-1],A549,Res,Resistant,Ctr,0.030616087830406112
PC(O-17:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,0.032825519126911895
PC(O-33:0),Area[s11-1],A549,Res,Resistant,Ctr,0.032869624822902885
PC(33:5),Area[s11-1],A549,Res,Resistant,Ctr,0.018791266073736893
PC(33:4),Area[s11-1],A549,Res,Resistant,Ctr,0.047487801875890974
PC(O-16:1_18:2),Area[s11-1],A549,Res,Resistant,Ctr,0.1671978783026083
PC(16:1_17:1),Area[s11-1],A549,Res,Resistant,Ctr,0.2716484615605727
PC(16:0_17:2),Area[s11-1],A549,Res,Resistant,Ctr,0.3625541875752995
PC(15:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.003795008054737478
PC(O-16:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.6201099647055555
PC(16:0_17:1),Area[s11-1],A549,Res,Resistant,Ctr,1.3313078998096413
PC(33:1),Area[s11-1],A549,Res,Resistant,Ctr,1.7231624970049424
PC(3:0_30:1),Area[s11-1],A549,Res,Resistant,Ctr,0.004858283475505803
PC(O-16:1_18:0),Area[s11-1],A549,Res,Resistant,Ctr,0.31114140615566416
PC(O-16:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,2.6730879065054958
PC(O-34:1),Area[s11-1],A549,Res,Resistant,Ctr,0.49783188112881216
PC(O-13:1_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.13523543238655694
PC(16:0_16:0CHO),Area[s11-1],A549,Res,Resistant,Ctr,0.004750404218746663
PC(O-18:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,0.5601133767107281
PC(14:0_20:5),Area[s11-1],A549,Res,Resistant,Ctr,0.004099833387603952
PC(16:1_18:3),Area[s11-1],A549,Res,Resistant,Ctr,0.3233492193664802
PC(14:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.0503620567270924
PC(16:0_18:3),Area[s11-1],A549,Res,Resistant,Ctr,0.8040300807898304
PC(7:0_27:2),Area[s11-1],A549,Res,Resistant,Ctr,0.0005134188228501028
PC(16:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,4.088676357734096
PC(34:2),Area[s11-1],A549,Res,Resistant,Ctr,0.3371935733646402
PC(14:1_20:1),Area[s11-1],A549,Res,Resistant,Ctr,0.2484804923722587
PC(16:0_18:2),Area[s11-1],A549,Res,Resistant,Ctr,0.0830591952683591
PC(2:0_32:2),Area[s11-1],A549,Res,Resistant,Ctr,0.029598363295464575
PC(O-35:2),Area[s11-1],A549,Res,Resistant,Ctr,0.08917209897697376
PC(O-17:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.016733845426476403
PC(16:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,18.03596916012494
PC(18:0_16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.026145134985162473
PC(O-35:1),Area[s11-1],A549,Res,Resistant,Ctr,0.05202936701552527
PC(O-15:1_20:0),Area[s11-1],A549,Res,Resistant,Ctr,0.05220625849436867
PC(16:0_18:0),Area[s11-1],A549,Res,Resistant,Ctr,1.5493379661477193
PC(O-36:6),Area[s11-1],A549,Res,Resistant,Ctr,0.08233267006237933
PC(35:5),Area[s11-1],A549,Res,Resistant,Ctr,0.1572313799982439
PC(20:4_15:1),Area[s11-1],A549,Res,Resistant,Ctr,0.2665298346281843
PC(O-16:0_20:5),Area[s11-1],A549,Res,Resistant,Ctr,0.2178992777905728
PC(P-18:4_18:0),Area[s11-1],A549,Res,Resistant,Ctr,0.1330757454525373
PC(O-16:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.22814111570560358
PC(O-18:4_18:0),Area[s11-1],A549,Res,Resistant,Ctr,0.22814111570560358
PC(35:3),Area[s11-1],A549,Res,Resistant,Ctr,0.15037178160959186
PC(17:3_18:0),Area[s11-1],A549,Res,Resistant,Ctr,0.08040807641835745
PC(O-18:1_18:2),Area[s11-1],A549,Res,Resistant,Ctr,0.29271056967094744
PC(17:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.7944956328683748
PC(11:2_24:0),Area[s11-1],A549,Res,Resistant,Ctr,0.016494364081211587
PC(O-18:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.7257385592998395
PC(O-36:2),Area[s11-1],A549,Res,Resistant,Ctr,0.6344585750186449
PC(O-15:2_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.09029513784667498
PC(O-37:8),Area[s11-1],A549,Res,Resistant,Ctr,0.008516608577725423
PC(17:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.5717734317712253
PC(35:1),Area[s11-1],A549,Res,Resistant,Ctr,0.1335866705215174
PC(O-18:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.31460761220437516
PC(O-36:1),Area[s11-1],A549,Res,Resistant,Ctr,0.0012798502055689307
PC(O-15:1_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.07601997343054061
PC(16:0_18:0CHO),Area[s11-1],A549,Res,Resistant,Ctr,0.013195215210790617
PC(34:0CHO),Area[s11-1],A549,Res,Resistant,Ctr,0.005517188246582935
