species,sample,cellline,sensitivity,group,treatment,pct
PE(P-16:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.7257924769651416
PE(P-16:0_20:5),Area[s11-1],A549,Res,Resistant,Ctr,0.18979498718928742
PE(P-16:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,1.3889837225899286
PE(P-18:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.22865305215589035
PE(P-18:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.2513533303081008
PE(P-16:0_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.5515684426460306
PE(P-16:0_22:5),Area[s11-1],A549,Res,Resistant,Ctr,0.25235285400034724
PE(P-18:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.5954678455293422
PE(P-18:0_20:3),Area[s11-1],A549,Res,Resistant,Ctr,0.13070216658262845
PE(18:1_18:2),Area[s11-1],A549,Res,Resistant,Ctr,0.2635565245004071
PE(18:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,1.6289830679791026
PE(P-18:0_22:5),Area[s11-1],A549,Res,Resistant,Ctr,0.06814168877887775
PE(P-20:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.06039298287199643
PE(21:2),Area[s11-1],A549,Res,Resistant,Ctr,0.00033842151307971575
PE(13:1_8:0CHO),Area[s11-1],A549,Res,Resistant,Ctr,0.0005693539229384418
PE(O-16:1_16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.03205287970314802
PE(16:0_16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.0981394573513134
PE(O-16:1_18:2),Area[s11-1],A549,Res,Resistant,Ctr,0.06462247367366776
PE(O-16:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.3525484978333653
PE(O-16:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.020154408179324654
PE(16:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.43672828531174257
PE(O-17:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.03195826717321346
