species,sample,cellline,sensitivity,group,treatment,pct
PI(16:0_16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.584387601079293
PI(16:1_18:2),Area[s11-1],A549,Res,Resistant,Ctr,0.2826276775273723
PI(16:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,1.86252255174549
PI(16:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,5.05619646189467
PI(16:0_20:5),Area[s11-1],A549,Res,Resistant,Ctr,0.17431313045176366
PI(16:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,2.287190116012327
PI(22:1_14:2),Area[s11-1],A549,Res,Resistant,Ctr,0.00901834371837433
PI(16:0_20:3),Area[s11-1],A549,Res,Resistant,Ctr,3.8435223981312996
PI(18:0_18:2),Area[s11-1],A549,Res,Resistant,Ctr,5.4922960969807315
PI(18:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,3.778899012678396
PI(18:1_18:0),Area[s11-1],A549,Res,Resistant,Ctr,0.029875977913794434
PI(36:1),Area[s11-1],A549,Res,Resistant,Ctr,0.013830107789469524
PI(16:0_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.49070351236716375
PI(18:1_20:4),Area[s11-1],A549,Res,Resistant,Ctr,5.45673018763374
PI(18:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,29.447661656545925
PI(18:0_20:3),Area[s11-1],A549,Res,Resistant,Ctr,13.624254502201804
PI(18:1_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.5166460183530631
PI(22:6_18:0),Area[s11-1],A549,Res,Resistant,Ctr,2.2358366668133103
PI(18:0_22:5),Area[s11-1],A549,Res,Resistant,Ctr,2.5797818219325124
PI(16:0_14:1),Area[s11-1],A549,Res,Resistant,Ctr,0.02721289606147393
PI(15:1_17:1),Area[s11-1],A549,Res,Resistant,Ctr,0.04878687880894809
PI(16:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,0.5699139839623188
PI(16:0_17:1),Area[s11-1],A549,Res,Resistant,Ctr,0.050026595595413524
PI(O-16:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.05629411673074798
PI(17:1_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.26081488162180716
PI(17:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.4773400446434435
PI(O-16:0_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.07148018486444754
PI(O-16:0_22:5),Area[s11-1],A549,Res,Resistant,Ctr,0.12156809063998689
PI(17:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.6587271982687734
PI(18:0_19:3),Area[s11-1],A549,Res,Resistant,Ctr,0.8633550504583343
PI(18:0_20:2),Area[s11-1],A549,Res,Resistant,Ctr,5.364366206898639
PI(17:0_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.05986281040979047
PI(26:1_14:2),Area[s11-1],A549,Res,Resistant,Ctr,0.05487053032879544
PI(24:3_16:0),Area[s11-1],A549,Res,Resistant,Ctr,0.0014643117847204787
PI(18:0_22:3),Area[s11-1],A549,Res,Resistant,Ctr,1.4454475365530883
PI(18:0_21:3),Area[s11-1],A549,Res,Resistant,Ctr,0.48807463147138364
PI(19:0_21:4),Area[s11-1],A549,Res,Resistant,Ctr,0.03232921862432919
PI(18:0_22:4),Area[s11-1],A549,Res,Resistant,Ctr,1.1428144714368416
PI(P-7:0_21:0),Area[s11-1],A549,Res,Resistant,Ctr,0.7537113111070326
PI(16:0_18:0),Area[s11-1],A549,Res,Resistant,Ctr,0.8528399287144816
PI(18:1_19:1),Area[s11-1],A549,Res,Resistant,Ctr,0.5882599213994356
PI(18:0_20:1),Area[s11-1],A549,Res,Resistant,Ctr,0.14322942897173746
PI(17:1_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.03010852086497103
PI(18:1_21:3),Area[s11-1],A549,Res,Resistant,Ctr,0.5819585219147254
PI(O-13:1_15:0),Area[s11-1],A549,Res,Resistant,Ctr,0.7429601996532592
PI(P-11:0_21:1),Area[s11-1],A549,Res,Resistant,Ctr,0.030559649369804903
PI(14:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,0.03471425523162485
PI(14:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.014065589513441286
PI(12:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,3.634130499667167e-11
PI(O-16:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,0.013988433653595027
PI(O-16:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.03793761981759377
PI(O-18:0_18:1),Area[s11-1],A549,Res,Resistant,Ctr,0.03038967027777858
PI(18:0_18:0),Area[s11-1],A549,Res,Resistant,Ctr,0.05107402607256127
PI(O-18:0_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.075684131747917
PI(20:4_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.01667193744263152
PI(P-11:0_22:1),Area[s11-1],A549,Res,Resistant,Ctr,0.0
PI(19:1_20:4),Area[s11-1],A549,Res,Resistant,Ctr,0.24063580971784676
PI(16:1_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.30131175243266584
PI(15:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,0.003668011039418365
PI(18:1_14:2),Area[s11-1],A549,Res,Resistant,Ctr,0.0
PI(16:0_16:3),Area[s11-1],A549,Res,Resistant,Ctr,0.0010648010341318477
PI(16:0_17:0),Area[s11-1],A549,Res,Resistant,Ctr,0.15200393200628234
PI(17:0_18:0),Area[s11-1],A549,Res,Resistant,Ctr,3.078237943850721
PI(4:0_10:3),Area[s11-1],A549,Res,Resistant,Ctr,0.06660060944878726
PI(P-9:0_22:1),Area[s11-1],A549,Res,Resistant,Ctr,0.0044970007845911856
PI(O-18:1_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.01448991098268669
PI(O-18:0_22:6),Area[s11-1],A549,Res,Resistant,Ctr,0.026341512608845014
PI(O-16:0_16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.012689160358458452
PI(16:0_19:3),Area[s11-1],A549,Res,Resistant,Ctr,0.09321569591056718
PI(O-18:0_22:5),Area[s11-1],A549,Res,Resistant,Ctr,0.003217096837142693
PI(18:0_22:2),Area[s11-1],A549,Res,Resistant,Ctr,0.19421659526910567
PI(36:9),Area[s11-1],A549,Res,Resistant,Ctr,0.06503337462157259
PI(O-7:0_11:0),Area[s11-1],A549,Res,Resistant,Ctr,0.038060221762465776
PI(O-17:1_23:3),Area[s11-1],A549,Res,Resistant,Ctr,0.04870107306410412
PI(O-16:0),Area[s11-1],A549,Res,Resistant,Ctr,0.00732359100531061
PI(18:0_19:1),Area[s11-1],A549,Res,Resistant,Ctr,1.7425791443725782
PI(P-20:6_23:2),Area[s11-1],A549,Res,Resistant,Ctr,0.23001435594943279
PI(18:1_24:5),Area[s11-1],A549,Res,Resistant,Ctr,0.116901780220559
PI(16:0_16:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.2754357312417007
PI(16:1_18:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.2704612166890107
PI(16:1_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.4865891699419442
PI(16:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,2.7383052426879204
PI(16:0_20:5),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.16037356521423307
PI(16:0_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.5503873978332231
PI(22:1_14:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.023724947990176732
PI(16:0_20:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,2.7555667582564434
PI(18:0_18:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,4.560336802411456
PI(18:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,8.45135072852964
PI(18:1_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.03436720026523008
PI(36:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.011961992186898807
PI(16:0_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.8451608901585574
PI(18:1_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,2.9885440737220774
PI(18:0_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,22.479590020803684
PI(18:0_20:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,31.084867137488324
PI(18:1_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.6426551712534233
PI(22:6_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.732394002504
PI(18:0_22:5),Area[s21-1],MCF10A,Res,Resistant,Ctr,2.491054588370679
PI(16:0_14:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.007027466483608271
PI(15:1_17:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0
PI(16:0_16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.26723588738341575
PI(16:0_17:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.014576603825270098
PI(O-16:0_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.017888065141339154
PI(17:1_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.22458627791044497
PI(17:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.32659109616991183
PI(O-16:0_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.12177986107740021
PI(O-16:0_22:5),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.11078666366996141
PI(17:0_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.22233964586396188
PI(18:0_19:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.39067016681479827
PI(18:0_20:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,4.090433220306869
PI(17:0_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.03805334832060626
PI(26:1_14:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.11792609510248175
PI(24:3_16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.030552448094645322
PI(18:0_22:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.7231509983196123
PI(18:0_21:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.5628004573279214
PI(19:0_21:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.06872015088369382
PI(18:0_22:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.8583940862630017
PI(P-7:0_21:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.2162723316766997
PI(16:0_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.49728595312434853
PI(18:1_19:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.48511930145255555
PI(18:0_20:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.07945798574995594
PI(17:1_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0456038656074716
PI(18:1_21:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.4869174478549675
PI(O-13:1_15:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.7206475263934877
