species,sample,cellline,sensitivity,group,treatment,pct
SM(d31:1),Area[s11-1],A549,Res,Resistant,Ctr,0.015746912129889136
SM(d16:1_16:0),Area[s11-1],A549,Res,Resistant,Ctr,1.0930706003836235
SM(d17:1_16:0),Area[s11-1],A549,Res,Resistant,Ctr,1.9490462450816988
SM(d20:1_13:0),Area[s11-1],A549,Res,Resistant,Ctr,0.00446653162502289
SM(d18:2_16:0),Area[s11-1],A549,Res,Resistant,Ctr,2.77990554190046
SM(d18:1_16:0),Area[s11-1],A549,Res,Resistant,Ctr,30.757700839479323
SM(d24:0_10:1),Area[s11-1],A549,Res,Resistant,Ctr,0.5484324483948243
SM(d18:0_16:0),Area[s11-1],A549,Res,Resistant,Ctr,4.643216747436347
SM(d18:2_18:3),Area[s11-1],A549,Res,Resistant,Ctr,0.20562668630434913
SM(d18:1_18:3),Area[s11-1],A549,Res,Resistant,Ctr,0.6951132408023102
SM(d18:1_18:0),Area[s11-1],A549,Res,Resistant,Ctr,1.0021330543021891
SM(d18:1_22:0),Area[s11-1],A549,Res,Resistant,Ctr,5.480512727852553
SM(d40:1),Area[s11-1],A549,Res,Resistant,Ctr,0.027051027602377667
SM(d18:1_23:0),Area[s11-1],A549,Res,Resistant,Ctr,0.8564296434120534
SM(d18:1_24:1),Area[s11-1],A549,Res,Resistant,Ctr,22.258438757217817
SM(d42:2),Area[s11-1],A549,Res,Resistant,Ctr,1.9566663377508513
SM(d18:1_24:0),Area[s11-1],A549,Res,Resistant,Ctr,8.36220867423401
SM(d42:1),Area[s11-1],A549,Res,Resistant,Ctr,0.7816307919826179
SM(d18:1_26:3),Area[s11-1],A549,Res,Resistant,Ctr,0.8345555834897903
SM(d20:1_24:0),Area[s11-1],A549,Res,Resistant,Ctr,0.4876361486833458
SM(d44:1),Area[s11-1],A549,Res,Resistant,Ctr,0.0245674277018866
SM(t48:5),Area[s11-1],A549,Res,Resistant,Ctr,0.3425224033835023
SM(t48:4),Area[s11-1],A549,Res,Resistant,Ctr,0.10935470996220856
SM(d35:1),Area[s11-1],A549,Res,Resistant,Ctr,0.3766408718855965
SM(d20:1_15:0),Area[s11-1],A549,Res,Resistant,Ctr,0.008916295093328756
SM(d22:1_15:0),Area[s11-1],A549,Res,Resistant,Ctr,0.0006527402177148033
SM(t37:2),Area[s11-1],A549,Res,Resistant,Ctr,0.0
SM(d30:1),Area[s11-1],A549,Res,Resistant,Ctr,0.011475625237920636
SM(d18:2_14:0),Area[s11-1],A549,Res,Resistant,Ctr,0.038201127930174016
SM(d33:2),Area[s11-1],A549,Res,Resistant,Ctr,0.035589869643238015
SM(d16:1_18:3),Area[s11-1],A549,Res,Resistant,Ctr,0.1005869818720873
SM(t18:0_16:1),Area[s11-1],A549,Res,Resistant,Ctr,0.017117052275550538
SM(t34:1),Area[s11-1],A549,Res,Resistant,Ctr,0.05146737968165684
SM(d36:2),Area[s11-1],A549,Res,Resistant,Ctr,0.7161964159632541
SM(d18:1_20:0),Area[s11-1],A549,Res,Resistant,Ctr,0.6172679522732025
SM(d38:1),Area[s11-1],A549,Res,Resistant,Ctr,0.8094413481413092
SM(d18:2_22:0),Area[s11-1],A549,Res,Resistant,Ctr,2.169035750603624
SM(d40:2),Area[s11-1],A549,Res,Resistant,Ctr,0.002654077871751784
SM(d18:1_23:1),Area[s11-1],A549,Res,Resistant,Ctr,0.47225266543232003
SM(d42:4),Area[s11-1],A549,Res,Resistant,Ctr,0.21560649701530313
SM(d18:1_24:3),Area[s11-1],A549,Res,Resistant,Ctr,0.4397913824878515
