species,group,treatment,mean,sem,n
SM(d16:1_16:0),Resistant,Ctr,1.0592139062370205,0.18854004772897148,7
SM(d17:1_16:0),Resistant,Ctr,1.2801825093900139,0.21022021657702974,7
SM(d18:0_16:0),Resistant,Ctr,5.332320773592685,1.7276671480260208,7
SM(d18:1_16:0),Resistant,Ctr,35.39313595798832,4.032315147953007,7
SM(d18:1_18:0),Resistant,Ctr,1.9005888104513249,0.30844168400423294,7
SM(d18:1_18:3),Resistant,Ctr,1.1498867132817538,0.12419186305717579,7
SM(d18:1_20:0),Resistant,Ctr,0.909792808934723,0.18211657352609062,7
SM(d18:1_22:0),Resistant,Ctr,4.483483317651667,0.7642826339425948,7
SM(d18:1_23:0),Resistant,Ctr,0.6151270792609639,0.060615836690339535,7
SM(d18:1_23:1),Resistant,Ctr,1.4016844886837974,0.2313270349128826,7
SM(d18:1_24:0),Resistant,Ctr,4.925610639454595,0.796820411981703,7
SM(d18:1_24:1),Resistant,Ctr,16.845003655767115,1.6929851392707158,7
SM(d18:1_26:4),Resistant,Ctr,1.167710644728561,0.29540796110823736,7
SM(d18:2_16:0),Resistant,Ctr,1.8057781083271138,0.3244714528613992,7
SM(d18:2_22:0),Resistant,Ctr,2.091060842698188,0.18087540727230783,7
SM(d18:2_24:1),Resistant,Ctr,2.9857075126653707,0.5322391715658195,7
SM(d20:1_24:0),Resistant,Ctr,0.6958321032357626,0.42313415968209867,7
SM(d20:1_24:1),Resistant,Ctr,0.49954606279009717,0.08619953245089346,7
SM(d24:0_10:1),Resistant,Ctr,0.6094344101297554,0.08103573063940936,7
SM(d35:1),Resistant,Ctr,1.4921894571853094,0.3627813892297355,7
SM(d36:0),Resistant,Ctr,0.3274296260589358,0.19807974666208664,7
SM(d36:2),Resistant,Ctr,0.8526241564347847,0.14651493674019095,7
SM(d38:0),Resistant,Ctr,0.09504131164011219,0.0401844666134837,7
SM(d38:1),Resistant,Ctr,0.9689967430898628,0.2573306312219022,7
SM(d42:1),Resistant,Ctr,0.49060690308536176,0.07416022433587362,7
SM(d42:2),Resistant,Ctr,1.85880484272444,0.3473479369054015,7
SM(d44:5),Resistant,Ctr,1.167710644728561,0.29540796110823736,7
SM(d44:7),Resistant,Ctr,1.1933700649578214,0.15499676279345223,7
SM(d16:1_16:0),Sensitive,Ctr,1.353685766233388,0.1441714201751272,13
SM(d17:1_16:0),Sensitive,Ctr,1.6560821080163128,0.14219509093539995,13
