group,species,p,log2FC,q,-log10p
Resistant,Cer(d13:2_22:1),0.020512820512820513,1.1799821187196178,0.25982905982905985,1.68797461791737
Resistant,Cer(d17:0_35:1),0.6943278943278944,-0.16859160087540656,0.8943884740494912,0.15843538673428506
Resistant,Cer(d17:1_16:0),0.9550893550893552,0.04742665561627777,0.9943396025587807,0.01995599527457442
Resistant,Cer(d17:1_22:0),0.39689199689199695,0.4217694785350348,0.6557346035606906,0.40132765820358507
Resistant,Cer(d17:1_24:1),0.5358197358197359,-0.31602444169588756,0.7831211523519216,0.2709812940066779
Resistant,Cer(d17:1_29:1),0.39689199689199695,0.24960394244832879,0.6557346035606906,0.40132765820358507
Resistant,Cer(d17:1_39:6),0.08748033392519716,3.4235188768262077,0.2853395493395493,1.0580895673693915
Resistant,Cer(d17:2_30:6),0.005905205905205905,-1.3890864175032107,0.1495985495985496,2.2287649472691613
Resistant,Cer(d18:0_16:0),0.6125874125874127,0.14005199130334717,0.8313686313686315,0.2128319312260859
Resistant,Cer(d18:0_18:0),0.09386169386169387,1.5629070959219158,0.2853395493395493,1.0275116121565775
Resistant,Cer(d18:0_22:0),0.0721056721056721,1.2829749660365488,0.2853395493395493,1.1420305700832218
Resistant,Cer(d18:0_23:0),0.5358197358197359,0.08709178950425472,0.7831211523519216,0.2709812940066779
Resistant,Cer(d18:0_24:0),0.151981351981352,0.6022572645243394,0.4125208125208126,0.8182096961670489
Resistant,Cer(d18:0_26:0),0.1892773892773893,0.25850294875933344,0.4359115631842905,0.7229012627141002
Resistant,Cer(d18:1_12:0),0.6757058487030954,1.5938817772463363,0.8943884740494912,0.1702423218743195
Resistant,Cer(d18:1_14:0),0.39689199689199695,0.5039330271652498,0.6557346035606906,0.40132765820358507
Resistant,Cer(d18:1_16:0),0.8665112665112666,-0.22042574904276022,0.9544182065921197,0.062225786100332525
Resistant,Cer(d18:1_17:2),0.6943278943278944,0.22250317571885272,0.8943884740494912,0.15843538673428506
Resistant,Cer(d18:1_18:0),0.0721056721056721,1.129129810271049,0.2853395493395493,1.1420305700832218
Resistant,Cer(d18:1_22:0),0.028904428904428903,0.5324451516687724,0.2745920745920746,1.5390356055199703
Resistant,Cer(d18:1_22:2),0.33566433566433573,3.570679559969326,0.5932671979183608,0.47409479996009096
Resistant,Cer(d18:1_22:3),0.09386169386169387,2.375225245590528,0.2853395493395493,1.0275116121565775
Resistant,Cer(d18:1_23:0),0.9550893550893552,-0.03063109105317931,0.9943396025587807,0.01995599527457442
Resistant,Cer(d18:1_24:0),0.778865578865579,-0.07263977410542637,0.9395838729172064,0.10853748886253317
Resistant,Cer(d18:1_24:1),0.778865578865579,-0.11299891732669898,0.9395838729172064,0.10853748886253317
Resistant,Cer(d18:1_24:3),0.0721056721056721,0.5405253691043234,0.2853395493395493,1.1420305700832218
Resistant,Cer(d18:1_26:1),0.33566433566433573,-0.18622387821741385,0.5932671979183608,0.47409479996009096
Resistant,Cer(d18:2_16:0),0.09386169386169387,0.6203350026583295,0.2853395493395493,1.0275116121565775
Resistant,Cer(d18:2_22:0),0.280963480963481,0.3343952806962254,0.5338306138306139,0.5513501249464876
Resistant,Cer(d18:2_24:1),0.6125874125874127,-0.21705203422831224,0.8313686313686315,0.2128319312260859
Resistant,Cer(d19:0_31:4),0.8110701293339075,0.19833867543268277,0.9544182065921197,0.09094159275629456
Resistant,Cer(d19:1_24:1),0.1205905205905206,-0.5324342774506476,0.33943998388442836,0.9186868296220773
Resistant,Cer(d19:1_26:1),0.0721056721056721,-0.5623231993805947,0.2853395493395493,1.1420305700832218
Resistant,Cer(d20:0_18:0),0.1892773892773893,3.5554087153802603,0.4359115631842905,0.7229012627141002
Resistant,Cer(d20:0_23:0),0.1892773892773893,0.47950252466869825,0.4359115631842905,0.7229012627141002
