group,species,p,log2FC,q,-log10p
Resistant,PE(12:0CHO_32:0),0.8506523285821779,-0.015586695377232989,0.9535580604073757,0.07024790476460857
Resistant,PE(13:1_8:0CHO),0.33566433566433573,1.2329489856961489,0.898834498834499,0.47409479996009096
Resistant,PE(14:0_16:1),0.1892773892773893,-0.826432447995826,0.7602641802641803,0.7229012627141002
Resistant,PE(14:0_20:5),0.1272980462544935,-3.4254213324642384,0.7304483130317366,0.8951782614207646
Resistant,PE(16:0COOH_18:0),0.33566433566433573,-0.5333818759536842,0.898834498834499,0.47409479996009096
Resistant,PE(16:0_16:1),0.33566433566433573,-0.5032949407145869,0.898834498834499,0.47409479996009096
Resistant,PE(16:0_17:1),0.0721056721056721,-0.8455876974036428,0.6683641145179606,1.1420305700832218
Resistant,PE(16:0_18:0),0.39689199689199695,0.22020276918590362,0.9002046733754052,0.40132765820358507
Resistant,PE(16:0_18:1),0.054079254079254076,-0.4941110140076461,0.6206238206238206,1.2669693064907541
Resistant,PE(16:0_19:0COOH),0.33566433566433573,-0.689839059142509,0.898834498834499,0.47409479996009096
Resistant,PE(16:0_20:4),0.1892773892773893,-0.8514229108958837,0.7602641802641803,0.7229012627141002
Resistant,PE(16:0_20:5),0.054079254079254076,-1.419036025970226,0.6206238206238206,1.2669693064907541
Resistant,PE(16:0_22:6),0.04009324009324009,-0.9047549851158158,0.5368039368039368,1.396928844193964
Resistant,PE(16:1_16:1),0.0721056721056721,-1.460931330497069,0.6683641145179606,1.1420305700832218
Resistant,PE(16:1_18:1),0.1205905205905206,-0.7173381538941912,0.7088369624954991,0.9186868296220773
Resistant,PE(16:1_18:2),0.009324009324009324,-1.2046341777195861,0.2247086247086247,2.0303972961989536
Resistant,PE(16:1_19:3COOH),0.020524463598227634,-2.046429705996377,0.41219964393107167,1.6877281821229353
Resistant,PE(16:1_22:6),0.46340326340326343,-0.10994830790130944,0.9002046733754052,0.3340409120297112
Resistant,PE(17:0CHO_20:3),0.46340326340326343,-0.18017813243495626,0.9002046733754052,0.3340409120297112
Resistant,PE(17:0_18:1),0.1892773892773893,-1.487552844234586,0.7602641802641803,0.7229012627141002
Resistant,PE(17:0_20:4),0.280963480963481,-0.6703922166197256,0.8793792066519341,0.5513501249464876
Resistant,PE(17:1COOH_18:1),0.028904428904428903,-1.2776101768677037,0.4975690975690975,1.5390356055199703
Resistant,PE(17:1_18:1),0.46340326340326343,0.5966523108859876,0.9002046733754052,0.3340409120297112
Resistant,PE(17:2COOH_4:0),0.280963480963481,0.7068129441534486,0.8793792066519341,0.5513501249464876
Resistant,PE(18:0_18:0),0.09386169386169387,0.44794372052594833,0.6854747945657036,1.0275116121565775
Resistant,PE(18:0_18:0COOH),0.39689199689199695,-0.40495759942613574,0.9002046733754052,0.40132765820358507
Resistant,PE(18:0_18:1),0.46340326340326343,0.40376117099259284,0.9002046733754052,0.3340409120297112
Resistant,PE(18:0_18:2),0.33566433566433573,0.7248885665667563,0.898834498834499,0.47409479996009096
Resistant,PE(18:0_19:0COOH),0.020512820512820513,-1.3975107689965933,0.41219964393107167,1.68797461791737
Resistant,PE(18:0_20:0),0.054079254079254076,1.1027441063786592,0.6206238206238206,1.2669693064907541
Resistant,PE(18:0_20:0COOH),0.6125874125874127,-0.04479953358307302,0.9002046733754052,0.2128319312260859
Resistant,PE(18:0_20:1),0.04009324009324009,0.6784695719312973,0.5368039368039368,1.396928844193964
Resistant,PE(18:0_20:2),0.8665112665112666,0.009265608287669222,0.9535580604073757,0.062225786100332525
Resistant,PE(18:0_20:3),0.5358197358197359,0.1328891224891727,0.9002046733754052,0.2709812940066779
Resistant,PE(18:0_20:4),0.33566433566433573,0.5188930743280484,0.898834498834499,0.47409479996009096
Resistant,PE(18:0_21:2COOH),0.1892773892773893,0.6416408279350302,0.7602641802641803,0.7229012627141002
Resistant,PE(18:0_21:6CHO),0.46340326340326343,-0.1214156319893324,0.9002046733754052,0.3340409120297112
Resistant,PE(18:0_22:3),0.8665112665112666,-0.1287304389278255,0.9535580604073757,0.062225786100332525
Resistant,PE(18:0_22:4),0.778865578865579,0.16386753040790902,0.9480131540737603,0.10853748886253317
Resistant,PE(18:0_22:4COOH),0.0037296037296037296,-1.1643991365897535,0.1284049284049284,2.428337297884279
Resistant,PE(18:0_22:5),0.280963480963481,0.9142753397560954,0.8793792066519341,0.5513501249464876
Resistant,PE(18:0_22:6),0.151981351981352,0.5380202335850045,0.7475001189286904,0.8182096961670489
Resistant,PE(18:0_24:5),0.5358197358197359,-0.6381552106986739,0.9002046733754052,0.2709812940066779
Resistant,PE(18:1_18:0),0.09386169386169387,0.6283194738333807,0.6854747945657036,1.0275116121565775
Resistant,PE(18:1_18:1),0.46340326340326343,0.6385260162793336,0.9002046733754052,0.3340409120297112
Resistant,PE(18:1_18:2),0.778865578865579,0.23095097742663853,0.9480131540737603,0.10853748886253317
Resistant,PE(18:1_19:1),0.09386169386169387,-0.6562831905425448,0.6854747945657036,1.0275116121565775
Resistant,PE(18:1_20:4),0.6125874125874127,0.11858150125009734,0.9002046733754052,0.2128319312260859
Resistant,PE(18:1_21:3COOH),0.09386169386169387,1.0256892668710782,0.6854747945657036,1.0275116121565775
Resistant,PE(18:1_22:1),0.9550893550893552,0.013976810770207746,0.9712090066520448,0.01995599527457442
Resistant,PE(18:1_22:6),0.5358197358197359,-0.5129328056036796,0.9002046733754052,0.2709812940066779
Resistant,PE(18:1_24:1),0.46340326340326343,-0.31647446804831153,0.9002046733754052,0.3340409120297112
Resistant,PE(18:1_24:2),0.23185703185703188,-0.6437628656938371,0.8596545335006874,0.6347797279164441
Resistant,PE(18:1_24:5),0.9550893550893552,-0.017640188320384748,0.9712090066520448,0.01995599527457442
Resistant,PE(18:1_26:1),0.280963480963481,-0.48162865362986046,0.8793792066519341,0.5513501249464876
Resistant,PE(18:2_19:1COOH),0.6125874125874127,-0.08248342528644678,0.9002046733754052,0.2128319312260859
Resistant,PE(18:2_19:2COOH),0.6125874125874127,0.06408509995575959,0.9002046733754052,0.2128319312260859
Resistant,PE(18:2_21:3COOH),0.6943278943278944,0.21660530496436103,0.9453843080961726,0.15843538673428506
Resistant,PE(18:2_22:6),0.0721056721056721,-0.950535379177116,0.6683641145179606,1.1420305700832218
Resistant,PE(19:0COOH_20:0),0.5358197358197359,-0.025870022407793146,0.9002046733754052,0.2709812940066779
Resistant,PE(19:0_18:1),0.9550893550893552,-0.005403466981505529,0.9712090066520448,0.01995599527457442
Resistant,PE(19:1CHO),0.27116035987740905,-1.2705514769235617,0.8793792066519341,0.5667737982170183
Resistant,PE(19:1COOH_22:1),0.280963480963481,-0.18916122355589593,0.8793792066519341,0.5513501249464876
Resistant,PE(19:1_16:0),0.6125874125874127,-0.2120491045218985,0.9002046733754052,0.2128319312260859
Resistant,PE(19:1_18:1),0.46340326340326343,-0.3938470290259554,0.9002046733754052,0.3340409120297112
Resistant,PE(19:2),0.52296164404117,-0.7242449904628988,0.9002046733754052,0.2815301626598622
Resistant,PE(19:2CHO_18:2),0.778865578865579,0.09786787734795092,0.9480131540737603,0.10853748886253317
Resistant,PE(19:2CHO_20:3),1.0,-0.9154193889096767,1.0,-4.342945178152237e-11
Resistant,PE(19:2CHO_20:5),1.0,-0.12902777261895093,1.0,-4.342945178152237e-11
Resistant,PE(19:2COOH_20:4),0.6943278943278944,-0.21990982990054797,0.9453843080961726,0.15843538673428506
Resistant,PE(19:2COOH_20:5),0.1205905205905206,-1.4701499261877164,0.7088369624954991,0.9186868296220773
Resistant,PE(19:2COOH_22:6),0.8665112665112666,-0.18099735420739207,0.9535580604073757,0.062225786100332525
Resistant,PE(20:0COOH_20:1),0.280963480963481,0.877505218660647,0.8793792066519341,0.5513501249464876
Resistant,PE(20:0COOH_24:0),0.6125874125874127,-0.45899148489626324,0.9002046733754052,0.2128319312260859
Resistant,PE(20:0COOH_28:1),0.0721056721056721,-1.1794602909130454,0.6683641145179606,1.1420305700832218
Resistant,PE(20:0_20:0COOH),0.0003108003108003108,1.7617278957073845,0.04993524993524994,3.5075184158421973
Resistant,PE(20:0_22:2COOH),0.778865578865579,0.19110839975169516,0.9480131540737603,0.10853748886253317
Resistant,PE(20:1_20:0COOH),0.028904428904428903,0.8452123333432573,0.4975690975690975,1.5390356055199703
Resistant,PE(20:4_14:0),0.1892773892773893,-0.6915219076772423,0.7602641802641803,0.7229012627141002
Resistant,PE(20:4_19:0),0.1892773892773893,-1.2953614117300334,0.7602641802641803,0.7229012627141002
Resistant,PE(20:5_16:1),0.0006216006216006216,-2.5737604053330703,0.04993524993524994,3.206488490045324
Resistant,PE(21:0COOH_18:1),0.5358197358197359,-0.19460632466909972,0.9002046733754052,0.2709812940066779
Resistant,PE(21:0COOH_18:3),0.280963480963481,0.23463556803100483,0.8793792066519341,0.5513501249464876
Resistant,PE(21:1),0.6799884022342944,0.044720336671268186,0.9453843080961726,0.1674984944190162
Resistant,PE(21:1CHO_18:1),0.1205905205905206,0.8566080916597575,0.7088369624954991,0.9186868296220773
Resistant,PE(21:2),0.5358197358197359,0.3096192803682664,0.9002046733754052,0.2709812940066779
Resistant,PE(21:2CHO),0.33566433566433573,0.4684961401433919,0.898834498834499,0.47409479996009096
Resistant,PE(21:2CHO_16:0),0.6943278943278944,0.0841486526850869,0.9453843080961726,0.15843538673428506
Resistant,PE(21:2CHO_18:1),0.39689199689199695,0.6966280421896556,0.9002046733754052,0.40132765820358507
Resistant,PE(21:2CHO_20:1),0.04009324009324009,0.7938446669250122,0.5368039368039368,1.396928844193964
Resistant,PE(21:2CHO_20:3),0.5358197358197359,0.26632475009016504,0.9002046733754052,0.2709812940066779
Resistant,PE(21:2CHO_22:1),0.0721056721056721,0.710885267910306,0.6683641145179606,1.1420305700832218
Resistant,PE(21:2CHO_22:4),0.6125874125874127,0.6822483098137444,0.9002046733754052,0.2128319312260859
Resistant,PE(21:2CHO_22:5),0.46340326340326343,1.0350381745122406,0.9002046733754052,0.3340409120297112
Resistant,PE(21:2CHO_22:6),0.33566433566433573,0.6188087077312732,0.898834498834499,0.47409479996009096
Resistant,PE(21:2COOH_18:1),0.151981351981352,0.6961616595469604,0.7475001189286904,0.8182096961670489
Resistant,PE(21:2COOH_20:3),0.39689199689199695,0.3098234107742104,0.9002046733754052,0.40132765820358507
Resistant,PE(21:2COOH_20:4),0.46340326340326343,0.31647762948544855,0.9002046733754052,0.3340409120297112
Resistant,PE(21:2COOH_22:5),0.280963480963481,0.7424782653793666,0.8793792066519341,0.5513501249464876
Resistant,PE(21:2COOH_22:6),0.8665112665112666,-0.007618875879895642,0.9535580604073757,0.062225786100332525
Resistant,PE(21:3CHO_18:1),0.9550893550893552,0.09073147770374207,0.9712090066520448,0.01995599527457442
Resistant,PE(21:3CHO_20:3),0.8665112665112666,0.18887750188162072,0.9535580604073757,0.062225786100332525
Resistant,PE(21:3CHO_20:4),0.9550893550893552,-0.5203406116762838,0.9712090066520448,0.01995599527457442
Resistant,PE(21:3CHO_20:5),0.23185703185703188,-0.4278053264652935,0.8596545335006874,0.6347797279164441
Resistant,PE(21:3COOH_20:4),0.5358197358197359,0.4784410360554242,0.9002046733754052,0.2709812940066779
Resistant,PE(21:3COOH_22:6),0.778865578865579,-0.03284073293762089,0.9480131540737603,0.10853748886253317
Resistant,PE(21:4),0.3700277116622618,-1.0415990968097621,0.9002046733754052,0.43176574994715755
Resistant,PE(22:0COOH_16:0),0.1892773892773893,1.0087297291241104,0.7602641802641803,0.7229012627141002
Resistant,PE(22:0COOH_18:1),0.151981351981352,0.5874232395942036,0.7475001189286904,0.8182096961670489
Resistant,PE(22:0_18:1),0.8665112665112666,-0.0748994839917606,0.9535580604073757,0.062225786100332525
Resistant,PE(22:0_20:4),0.9550893550893552,-0.2419455680241017,0.9712090066520448,0.01995599527457442
Resistant,PE(22:3_19:1COOH),0.1892773892773893,-0.7151407311629917,0.7602641802641803,0.7229012627141002
Resistant,PE(22:6_16:0),0.5358197358197359,-0.5087500065605455,0.9002046733754052,0.2709812940066779
Resistant,PE(23:0_16:1),0.0006216006216006216,1.5636801969745497,0.04993524993524994,3.206488490045324
Resistant,PE(23:2),0.1205905205905206,0.38227705792644795,0.7088369624954991,0.9186868296220773
Resistant,PE(23:4_18:1),0.778865578865579,0.3174780372862778,0.9480131540737603,0.10853748886253317
Resistant,PE(23:5_16:1),0.10662319797558625,-1.4940396190268408,0.7088369624954991,0.972148295308053
Resistant,PE(23:6),0.9220850727491523,-0.5069430937100281,0.9712090066520448,0.0352290084859382
Resistant,PE(24:0_17:1),0.1892773892773893,-0.8142095771897588,0.7602641802641803,0.7229012627141002
Resistant,PE(24:0_18:1),0.1205905205905206,-0.6532757441216672,0.7088369624954991,0.9186868296220773
Resistant,PE(24:0_20:4),0.6125874125874127,-0.28754468919842985,0.9002046733754052,0.2128319312260859
Resistant,PE(24:1_20:4),0.6125874125874127,-0.332577114068908,0.9002046733754052,0.2128319312260859
Resistant,PE(24:2_19:1COOH),0.9550893550893552,-0.13135940773629967,0.9712090066520448,0.01995599527457442
Resistant,PE(24:3_19:1COOH),0.23185703185703188,-0.4563760245678993,0.8596545335006874,0.6347797279164441
Resistant,PE(26:0_18:1),0.46340326340326343,-0.6938867009204206,0.9002046733754052,0.3340409120297112
Resistant,PE(26:2_19:1COOH),0.33566433566433573,-0.6300346569357577,0.898834498834499,0.47409479996009096
Resistant,PE(26:3_19:1COOH),0.09386169386169387,-1.1761558886700847,0.6854747945657036,1.0275116121565775
Resistant,PE(28:2_19:1COOH),0.09386169386169387,-1.2900280181225083,0.6854747945657036,1.0275116121565775
Resistant,PE(34:0CHO),0.1205905205905206,-0.9418349048567363,0.7088369624954991,0.9186868296220773
Resistant,PE(38:5),0.6125874125874127,0.3882809154402,0.9002046733754052,0.2128319312260859
Resistant,PE(40:1),0.151981351981352,0.18598959887192898,0.7475001189286904,0.8182096961670489
Resistant,PE(43:1),0.5358197358197359,-0.15045408425076326,0.9002046733754052,0.2709812940066779
Resistant,PE(O-12:1_20:4),0.8616968286082338,-0.06648549225572563,0.9535580604073757,0.06464550537988692
Resistant,PE(O-12:1_20:5),0.95344003441657,-1.4353704432814007,0.9712090066520448,0.02070661619689836
Resistant,PE(O-12:1_22:6),0.640428787412791,-0.18236135695930772,0.9354141682817129,0.19352915461507697
Resistant,PE(O-13:1_20:5),0.5039104645747324,-0.9338431556638481,0.9002046733754052,0.29764662258628205
Resistant,PE(O-13:1_5:0),0.778865578865579,0.13154754144616418,0.9480131540737603,0.10853748886253317
