treatment,species,p,log2FC,q,-log10p
Ctr,PS(15:0_22:0),0.877296181630547,0.054877843166711876,1.0,0.05685376082377204
Ctr,PS(16:0_16:0),0.4854231166150671,0.36805470042828603,0.9818218954248367,0.31387954563337733
Ctr,PS(16:0_16:1),1.0,-0.2217787486123266,1.0,-4.342945178152237e-11
Ctr,PS(16:0_18:0),0.7573013415892673,0.06794065583785162,1.0,0.1207312737475131
Ctr,PS(16:0_18:1),0.816795665634675,-0.03046136557617874,1.0,0.08788657546633227
Ctr,PS(16:0_18:3),0.45139548517831174,-0.8527225915625847,0.9818218954248367,0.34544278891913793
Ctr,PS(16:0_18:4),0.938467492260062,-0.3265956793882725,1.0,0.02758076633848699
Ctr,PS(16:0_20:4),0.24135706914344687,0.4831983023719797,0.945046439628483,0.6173399763627604
Ctr,PS(16:0_20:5),1.0,-0.048908327098062726,1.0,-4.342945178152237e-11
Ctr,PS(16:0_22:6),0.5880288957688339,-0.46677479053670445,0.9818218954248367,0.23060133207345127
Ctr,PS(16:1_18:1),0.5880288957688339,0.237044143004288,0.9818218954248367,0.23060133207345127
Ctr,PS(17:0_16:1),0.6991744066047472,-0.25303989672109967,1.0,0.15541447744220666
Ctr,PS(17:0_18:0),0.437796697626419,-0.18366250552621166,0.9818218954248367,0.3587275186123147
Ctr,PS(17:0_22:6),0.11462848297213622,-0.7685415071543064,0.6304566563467492,0.9407074547589854
Ctr,PS(17:1_18:1),0.08111455108359134,-0.6321524513554972,0.6304566563467492,1.0909012304759487
Ctr,PS(18:0_17:1),0.3928792569659443,-0.32316892607865455,0.9818218954248367,0.4057409001258566
Ctr,PS(18:0_18:1),0.6426470588235295,-0.008070189919201068,0.9818218954248367,0.19202747566823541
Ctr,PS(18:0_19:2),0.21060371517027865,0.5042154502798075,0.891015718028102,0.6765339716730935
Ctr,PS(18:0_20:3),0.11462848297213622,-0.35376594224970864,0.6304566563467492,0.9407074547589854
Ctr,PS(18:0_20:4),0.3928792569659443,0.6241979507790051,0.9818218954248367,0.4057409001258566
Ctr,PS(18:0_20:5),0.6426470588235295,0.22827440627117887,0.9818218954248367,0.19202747566823541
Ctr,PS(18:0_21:3),0.05567595459236326,0.9469099912407177,0.6304566563467492,1.2543323272517963
Ctr,PS(18:0_21:4),1.0,0.42114593273535356,1.0,-4.342945178152237e-11
Ctr,PS(18:0_22:4),0.816795665634675,-0.34473188404298155,1.0,0.08788657546633227
Ctr,PS(18:0_22:5),0.13480392156862744,-0.9354484736798366,0.6740196078431372,0.8702974732734685
Ctr,PS(18:0_22:6),0.018601651186790504,-0.9785637622486194,0.6304566563467492,1.7304485013245894
Ctr,PS(18:0_23:6),0.877296181630547,0.09563360401754475,1.0,0.05685376082377204
Ctr,PS(18:1_18:0),0.938467492260062,0.007350312995667922,1.0,0.02758076633848699
Ctr,PS(18:1_18:1),0.4854231166150671,0.3357783760020376,0.9818218954248367,0.31387954563337733
Ctr,PS(18:1_18:2),0.816795665634675,-0.044795925548956554,1.0,0.08788657546633227
Ctr,PS(18:1_20:1),0.11462848297213622,0.33139789838767475,0.6304566563467492,0.9407074547589854
Ctr,PS(18:1_22:1),0.0369453044375645,0.3679586932565362,0.6304566563467492,1.4324407492313844
Ctr,PS(18:1_22:6),0.5355521155830754,-0.23629932548625068,0.9818218954248367,0.27119826068219915
Ctr,PS(18:1_23:1),0.11462848297213622,0.33749279458571413,0.6304566563467492,0.9407074547589854
