group,species,p,log2FC,q,-log10p
Resistant,PS(15:0_22:0),1.0,-0.004098143305388484,1.0,-4.342945178152237e-11
Resistant,PS(16:0_16:0),0.009324009324009324,-2.1836094147963263,0.042735042735042736,2.0303972961989536
Resistant,PS(16:0_16:1),0.028904428904428903,-1.570686881563417,0.08831908831908832,1.5390356055199703
Resistant,PS(16:0_18:0),0.280963480963481,-0.8793158497905076,0.4984835952577889,0.5513501249464876
Resistant,PS(16:0_18:1),0.009324009324009324,-0.8445233460474355,0.042735042735042736,2.0303972961989536
Resistant,PS(16:0_18:3),0.05182992721790963,-2.7178156370900215,0.14163614163614163,1.285419400179433
Resistant,PS(16:0_18:4),0.020524463598227634,-2.400871697966026,0.0705528436189075,1.6877281821229353
Resistant,PS(16:0_20:4),0.0721056721056721,-0.753765775539474,0.15863247863247865,1.1420305700832218
Resistant,PS(16:0_20:5),0.0003108003108003108,-1.6324929568374023,0.008547008547008548,3.5075184158421973
Resistant,PS(16:0_22:6),0.020512820512820513,-1.3355805353084698,0.0705528436189075,1.68797461791737
Resistant,PS(16:1_18:1),0.028904428904428903,-1.1237838544467385,0.08831908831908832,1.5390356055199703
Resistant,PS(17:0_16:1),0.009324009324009324,-1.6884286042985488,0.042735042735042736,2.0303972961989536
Resistant,PS(17:0_18:0),0.1205905205905206,-0.6216559285184495,0.22870615974064254,0.9186868296220773
Resistant,PS(17:0_22:6),0.009324009324009324,-1.7614870058033574,0.042735042735042736,2.0303972961989536
Resistant,PS(17:1_18:1),0.0037296037296037296,-1.5455104306468659,0.03418803418803419,2.428337297884279
Resistant,PS(18:0_17:1),0.0721056721056721,-0.9333519759575148,0.15863247863247865,1.1420305700832218
Resistant,PS(18:0_18:1),0.0012432012432012432,0.5786183195768624,0.017094017094017096,2.9054585293149007
Resistant,PS(18:0_19:2),0.0012432012432012432,-1.1905184961892508,0.017094017094017096,2.9054585293149007
Resistant,PS(18:0_20:3),0.8665112665112666,-0.03600047416503403,0.9726146869004014,0.062225786100332525
Resistant,PS(18:0_20:4),0.5358197358197359,-0.24346612593258965,0.7755285650022492,0.2709812940066779
Resistant,PS(18:0_20:5),0.778865578865579,-0.08376416000997065,0.9312523225566706,0.10853748886253317
Resistant,PS(18:0_21:3),0.09386169386169387,-0.8263059984040868,0.1843711843711844,1.0275116121565775
Resistant,PS(18:0_21:4),0.005905205905205905,-1.2133039393355398,0.0405982905982906,2.2287649472691613
Resistant,PS(18:0_22:4),0.8665112665112666,-0.1361222296528449,0.9726146869004014,0.062225786100332525
Resistant,PS(18:0_22:5),1.0,0.002325241612751251,1.0,-4.342945178152237e-11
Resistant,PS(18:0_22:6),0.33566433566433573,-0.32249919053751286,0.5594405594405596,0.47409479996009096
Resistant,PS(18:0_23:6),0.0003108003108003108,-1.3252585567895843,0.008547008547008548,3.5075184158421973
Resistant,PS(18:1_18:0),0.013986013986013986,0.5313385916763805,0.05494505494505495,1.8543060386958752
Resistant,PS(18:1_18:1),0.9550893550893552,-0.21615301822426108,0.9911304628285762,0.01995599527457442
Resistant,PS(18:1_18:2),0.013986013986013986,-0.8995773376933006,0.05494505494505495,1.8543060386958752
Resistant,PS(18:1_20:1),0.6125874125874127,-0.099984971561917,0.8217636022514072,0.2128319312260859
Resistant,PS(18:1_22:1),0.09386169386169387,-0.5090051131718523,0.1843711843711844,1.0275116121565775
Resistant,PS(18:1_22:6),0.778865578865579,0.12852046184625013,0.9312523225566706,0.10853748886253317
Resistant,PS(18:1_23:1),0.778865578865579,0.0656618225981848,0.9312523225566706,0.10853748886253317
Resistant,PS(18:1_24:1),0.054079254079254076,-0.8026061444788514,0.14163614163614163,1.2669693064907541
Resistant,PS(18:1_26:1),0.09386169386169387,-1.0556108739074623,0.1843711843711844,1.0275116121565775
Resistant,PS(18:3_22:5),0.8665112665112666,-0.023027833208791457,0.9726146869004014,0.062225786100332525
Resistant,PS(18:3_22:6),0.0030599755224886803,-2.789520746410695,0.03365973074737548,2.514282033342217
Resistant,PS(20:0_18:1),0.33566433566433573,-0.22901844690043566,0.5594405594405596,0.47409479996009096
Resistant,PS(20:3_20:4),0.46340326340326343,0.2607786324759873,0.6888426888426888,0.3340409120297112
Resistant,PS(20:3_22:5),0.46340326340326343,-1.0245227806913166,0.6888426888426888,0.3340409120297112
Resistant,PS(20:3_22:6),0.6125874125874127,-0.1947953987816028,0.8217636022514072,0.2128319312260859
Resistant,PS(22:0_18:1),0.0721056721056721,-0.4853476921287805,0.15863247863247865,1.1420305700832218
Resistant,PS(23:0_18:1),0.6125874125874127,-0.0628991794035295,0.8217636022514072,0.2128319312260859
Resistant,PS(23:3_20:4),0.005905205905205905,-1.1840117831438122,0.0405982905982906,2.2287649472691613
Resistant,PS(24:0_18:1),0.04009324009324009,-0.9964769535015898,0.11605937921727395,1.396928844193964
Resistant,PS(26:0_18:1),0.07182633114157258,-2.006434989146123,0.15863247863247865,1.1437163159728232
Resistant,PS(28:0_9:0),0.9550893550893552,0.007642568957573645,0.9911304628285762,0.01995599527457442
Resistant,PS(O-14:0_4:0),0.46340326340326343,0.31436033281880976,0.6888426888426888,0.3340409120297112
Resistant,PS(O-15:0_18:1),0.9550893550893552,-0.16500293141964886,0.9911304628285762,0.01995599527457442
Resistant,PS(O-17:1_10:0),0.9550893550893552,0.010288108247092205,0.9911304628285762,0.01995599527457442
Resistant,PS(O-18:0_17:1),0.778865578865579,-0.09598354141189595,0.9312523225566706,0.10853748886253317
