treatment,species,p,log2FC,q,-log10p
Ctr,SM(d16:1_16:0),0.15743034055727553,-0.3538986175439574,0.4897832817337461,0.802911564796475
Ctr,SM(d17:1_16:0),0.13480392156862744,-0.3714244442710637,0.47181372549019607,0.8702974732734685
Ctr,SM(d18:0_16:0),0.4854231166150671,-0.1078830824392781,0.6472308221534228,0.31387954563337733
Ctr,SM(d18:1_16:0),0.6426470588235295,-0.0414199887010518,0.8155552909422878,0.19202747566823541
Ctr,SM(d18:1_18:0),0.437796697626419,0.03919791868152453,0.6451740807126174,0.3587275186123147
Ctr,SM(d18:1_18:3),0.27492260061919505,0.1233228697602807,0.5498452012383901,0.5607895563945322
Ctr,SM(d18:1_20:0),0.437796697626419,-0.4076520321781866,0.6451740807126174,0.3587275186123147
Ctr,SM(d18:1_22:0),0.045562435500515995,-0.545478280895131,0.318937048503612,1.3413930681839925
Ctr,SM(d18:1_23:0),0.816795665634675,-0.05344132505941225,0.816795665634675,0.08788657546633227
Ctr,SM(d18:1_23:1),0.045562435500515995,0.6069743394391353,0.318937048503612,1.3413930681839925
Ctr,SM(d18:1_24:0),0.11462848297213622,-0.4707218272919113,0.4585139318885449,0.9407074547589854
Ctr,SM(d18:1_24:1),0.11462848297213622,0.3673075517013493,0.4585139318885449,0.9407074547589854
Ctr,SM(d18:1_26:4),0.3928792569659443,0.4357733261486157,0.6451740807126174,0.4057409001258566
Ctr,SM(d18:2_16:0),0.27492260061919505,-0.3709137477549199,0.5498452012383901,0.5607895563945322
Ctr,SM(d18:2_22:0),0.3928792569659443,0.0989570026332074,0.6451740807126174,0.4057409001258566
Ctr,SM(d18:2_24:1),0.21060371517027865,0.4677419600031647,0.5498452012383901,0.6765339716730935
Ctr,SM(d20:1_24:0),0.816795665634675,0.4203213973496413,0.816795665634675,0.08788657546633227
Ctr,SM(d20:1_24:1),0.4854231166150671,-0.11448070489730924,0.6472308221534228,0.31387954563337733
Ctr,SM(d24:0_10:1),0.6991744066047472,-0.11153691480481406,0.8155552909422878,0.15541447744220666
Ctr,SM(d35:1),0.6991744066047472,-0.1315329014187059,0.8155552909422878,0.15541447744220666
