group,species,p,log2FC,q,-log10p
Resistant,SM(d16:1_16:0),0.1892773892773893,-0.3831733421843556,0.44164724164724173,0.7229012627141002
Resistant,SM(d17:1_16:0),0.46340326340326343,-0.1012690721015151,0.617871017871018,0.3340409120297112
Resistant,SM(d18:0_16:0),0.9550893550893552,-0.2531555961211456,0.9550893550893552,0.01995599527457442
Resistant,SM(d18:1_16:0),0.9550893550893552,-0.04038742760647279,0.9550893550893552,0.01995599527457442
Resistant,SM(d18:1_18:0),0.1205905205905206,0.8252495312801725,0.44164724164724173,0.9186868296220773
Resistant,SM(d18:1_18:3),0.23185703185703188,0.33669062639799957,0.49938437630745325,0.6347797279164441
Resistant,SM(d18:1_20:0),0.1892773892773893,1.8016255500358302,0.44164724164724173,0.7229012627141002
Resistant,SM(d18:1_22:0),0.1892773892773893,0.3242256706749499,0.44164724164724173,0.7229012627141002
Resistant,SM(d18:1_23:0),0.09386169386169387,-0.4222492445572878,0.44164724164724173,1.0275116121565775
Resistant,SM(d18:1_23:1),0.151981351981352,-0.38002973170607435,0.44164724164724173,0.8182096961670489
Resistant,SM(d18:1_24:0),0.5358197358197359,-0.11380317479576983,0.6819523910433002,0.2709812940066779
Resistant,SM(d18:1_24:1),0.1892773892773893,-0.39223157693899136,0.44164724164724173,0.7229012627141002
Resistant,SM(d18:1_26:4),0.46340326340326343,-0.3463367361589475,0.617871017871018,0.3340409120297112
Resistant,SM(d18:2_16:0),0.6125874125874127,-0.3301748023246982,0.7146853146853148,0.2128319312260859
Resistant,SM(d18:2_22:0),0.280963480963481,-0.09643169811445364,0.561926961926962,0.5513501249464876
Resistant,SM(d18:2_24:1),0.151981351981352,-0.6336584824199627,0.44164724164724173,0.8182096961670489
Resistant,SM(d20:1_24:0),0.778865578865579,0.34265296351867236,0.8723294483294484,0.10853748886253317
Resistant,SM(d20:1_24:1),0.46340326340326343,0.6513525648216029,0.617871017871018,0.3340409120297112
Resistant,SM(d24:0_10:1),0.46340326340326343,-0.22156883154609902,0.617871017871018,0.3340409120297112
Resistant,SM(d35:1),0.6125874125874127,0.20689854226113,0.7146853146853148,0.2128319312260859
Resistant,SM(d36:0),0.1205905205905206,1.1377314761394997,0.44164724164724173,0.9186868296220773
Resistant,SM(d36:2),0.054079254079254076,0.6550904116329318,0.44164724164724173,1.2669693064907541
Resistant,SM(d38:0),0.09386169386169387,3.8187191329204726,0.44164724164724173,1.0275116121565775
Resistant,SM(d38:1),0.09386169386169387,1.6814463390033123,0.44164724164724173,1.0275116121565775
Resistant,SM(d42:1),0.46340326340326343,-0.023710456417070643,0.617871017871018,0.3340409120297112
Resistant,SM(d42:2),0.33566433566433573,-0.511964537901083,0.617871017871018,0.47409479996009096
Resistant,SM(d44:5),0.46340326340326343,-0.3463367361589475,0.617871017871018,0.3340409120297112
Resistant,SM(d44:7),0.9550893550893552,0.10050650086503846,0.9550893550893552,0.01995599527457442
Sensitive,SM(d16:1_16:0),0.11568501330321677,-0.2905229424149769,0.2699316977075058,0.9367228987651945
Sensitive,SM(d17:1_16:0),0.7298502540390175,0.017298329313626605,0.785992581272788,0.13676623641688587
Sensitive,SM(d18:0_16:0),0.4203825652786761,-0.15415489769531787,0.5350323558092241,0.3763553038636943
Sensitive,SM(d18:1_16:0),0.4203825652786761,-0.09929007053880191,0.5350323558092241,0.3763553038636943
Sensitive,SM(d18:1_18:0),0.008109184751252427,0.982952078544145,0.05676429325876699,2.091022799598397
Sensitive,SM(d18:1_18:3),0.30021417820496865,0.1735049447092575,0.4944704111611249,0.5225688010527555
Sensitive,SM(d18:1_20:0),0.16718706529127714,0.9606421890681157,0.31208252187705066,0.7767973252611624
Sensitive,SM(d18:1_22:0),0.10706742793331354,0.2390728370517073,0.2699316977075058,0.970342629792741
Sensitive,SM(d18:1_23:0),0.07133130299929451,-0.36302346472586466,0.2496595604975308,1.1467198420992708
Sensitive,SM(d18:1_23:1),0.11568501330321677,-0.2702579241056881,0.2699316977075058,0.9367228987651945
Sensitive,SM(d18:1_24:0),0.37750834876094097,-0.16697058526960196,0.5350323558092241,0.42307343920262797
Sensitive,SM(d18:1_24:1),0.5142205254974737,-0.09420259901099165,0.626007596257794,0.28885059207314695
Sensitive,SM(d18:1_26:4),0.1448301337395147,-0.4093388236549786,0.2896602674790294,0.839141067982331
Sensitive,SM(d18:2_16:0),0.0913624324056609,-0.2056918325874346,0.2699316977075058,1.0392323459445267
Sensitive,SM(d18:2_22:0),0.011329069360860042,-0.5823866672302953,0.06344278842081623,1.9458057604464187
Sensitive,SM(d18:2_24:1),0.015637278202145406,-0.6402121630262,0.07297396494334522,1.8058388344743777
Sensitive,SM(d20:1_24:0),0.7298502540390175,-0.32216055764203305,0.785992581272788,0.13676623641688587
Sensitive,SM(d20:1_24:1),0.7588773816484746,-0.31992991088196415,0.7869839513391589,0.1198283910768644
Sensitive,SM(d24:0_10:1),0.4203825652786761,-0.16380709908920985,0.5350323558092241,0.3763553038636943
Sensitive,SM(d35:1),0.3985983702940361,0.21003024973341133,0.5350323558092241,0.3994644811757332
Sensitive,SM(d36:0),0.0045207427311867755,1.352278019986238,0.04219359882440991,2.3447901977153576
Sensitive,SM(d36:2),0.06009426935694701,0.6848464463467641,0.24037707742778805,1.2211669400086542
Sensitive,SM(d38:0),0.0031323203525904946,1.3301168783876407,0.04219359882440991,2.5041338137684446
Sensitive,SM(d38:1),0.0045207427311867755,1.9676464584031268,0.04219359882440991,2.3447901977153576
Sensitive,SM(d42:1),0.9388313139132727,0.008399063974043282,0.9388313139132727,0.027412433265639916
Sensitive,SM(d42:2),0.5911489427210507,-0.09642865135756037,0.6896737665078925,0.2283030827468957
Sensitive,SM(d44:5),0.1448301337395147,-0.4093388236549786,0.2896602674790294,0.839141067982331
Sensitive,SM(d44:7),0.17929479635284185,0.33714355344978664,0.31376589361747326,0.7464323144791453
