treatment,species,p,log2FC,q,-log10p
Ctr,Cer(d13:2_22:1),0.938467492260062,-0.3351765374369933,0.9906045751633988,0.02758076633848699
Ctr,Cer(d17:0_35:1),1.0,2.2186009403837192,1.0,-4.342945178152237e-11
Ctr,Cer(d17:1_16:0),0.27492260061919505,0.5198693513370688,0.746218487394958,0.5607895563945322
Ctr,Cer(d17:1_22:0),0.7573013415892673,-0.10608272734194822,0.959248366013072,0.1207312737475131
Ctr,Cer(d17:1_24:1),0.5880288957688339,0.17840957002747376,0.8432112467628562,0.23060133207345127
Ctr,Cer(d17:1_29:1),0.5880288957688339,0.4522290776877836,0.8432112467628562,0.23060133207345127
Ctr,Cer(d17:1_39:6),0.5608658651082761,-3.164029696072116,0.8432112467628562,0.2511409907317832
Ctr,Cer(d17:2_30:6),1.0,-0.08690854769936637,1.0,-4.342945178152237e-11
Ctr,Cer(d18:0_16:0),0.938467492260062,0.33836129672195137,0.9906045751633988,0.02758076633848699
Ctr,Cer(d18:0_18:0),0.5880288957688339,0.2138306789807501,0.8432112467628562,0.23060133207345127
Ctr,Cer(d18:0_22:0),0.24135706914344687,-0.3430463418619304,0.7055052790346908,0.6173399763627604
Ctr,Cer(d18:0_23:0),0.3928792569659443,0.011397465443085432,0.8432112467628562,0.4057409001258566
Ctr,Cer(d18:0_24:0),0.023606811145510834,-1.3023502453980804,0.4485294117647059,1.6269626724725796
Ctr,Cer(d18:0_26:0),0.6426470588235295,1.73552042108015,0.8568627450980393,0.19202747566823541
Ctr,Cer(d18:1_12:0),0.8059831455061166,-0.1909649579546082,0.9699448529411766,0.09367403989068215
Ctr,Cer(d18:1_14:0),0.3928792569659443,0.35345366058293354,0.8432112467628562,0.4057409001258566
Ctr,Cer(d18:1_16:0),0.15743034055727553,0.5885446073425198,0.6297213622291021,0.802911564796475
Ctr,Cer(d18:1_17:2),0.5880288957688339,-0.04708284789239815,0.8432112467628562,0.23060133207345127
Ctr,Cer(d18:1_18:0),0.437796697626419,0.33990839723761057,0.8432112467628562,0.3587275186123147
Ctr,Cer(d18:1_22:0),0.3928792569659443,-0.37452867269991635,0.8432112467628562,0.4057409001258566
Ctr,Cer(d18:1_22:2),0.938467492260062,0.6075718840409298,0.9906045751633988,0.02758076633848699
Ctr,Cer(d18:1_22:3),0.5880288957688339,-0.06317365474020746,0.8432112467628562,0.23060133207345127
Ctr,Cer(d18:1_23:0),0.5355521155830754,-0.09314164235393109,0.8432112467628562,0.27119826068219915
Ctr,Cer(d18:1_24:0),0.0369453044375645,-0.3100989234506666,0.5615686274509804,1.4324407492313844
Ctr,Cer(d18:1_24:1),0.15743034055727553,0.43760657411256837,0.6297213622291021,0.802911564796475
Ctr,Cer(d18:1_24:3),0.5880288957688339,-0.3016209814115979,0.8432112467628562,0.23060133207345127
Ctr,Cer(d18:1_26:1),0.4854231166150671,-0.18073015629306297,0.8432112467628562,0.31387954563337733
Ctr,Cer(d18:2_16:0),0.4854231166150671,0.020950493834081606,0.8432112467628562,0.31387954563337733
Ctr,Cer(d18:2_22:0),0.3506965944272446,-0.18365529369514053,0.8432112467628562,0.4550684513560418
Ctr,Cer(d18:2_24:1),0.13480392156862744,0.9497047387985763,0.6297213622291021,0.8702974732734685
Ctr,Cer(d19:0_31:4),0.6318866911709151,-3.150250749267599,0.8568627450980393,0.19936079160304812
Ctr,Cer(d19:1_24:1),0.15743034055727553,0.6758136598486002,0.6297213622291021,0.802911564796475
Ctr,Cer(d19:1_26:1),0.816795665634675,-0.09099086316691843,0.9699448529411766,0.08788657546633227
Ctr,Cer(d20:0_18:0),0.816795665634675,0.18466820985329133,0.9699448529411766,0.08788657546633227
Ctr,Cer(d20:0_23:0),0.437796697626419,0.6231801258303148,0.8432112467628562,0.3587275186123147
Ctr,Cer(d20:1_18:0),0.5880288957688339,-0.1688943682042188,0.8432112467628562,0.23060133207345127
Ctr,Cer(d20:1_22:2),0.21060371517027865,0.5025107710997988,0.640235294117647,0.6765339716730935
Ctr,Cer(d20:1_23:0),0.938467492260062,-0.04532980094243124,0.9906045751633988,0.02758076633848699
Ctr,Cer(d20:1_23:3),0.27492260061919505,0.15081971543913225,0.746218487394958,0.5607895563945322
Ctr,Cer(d20:1_24:0),0.13480392156862744,0.18316406742939903,0.6297213622291021,0.8702974732734685
Ctr,Cer(d20:1_24:2),0.3928792569659443,-0.011239679363547691,0.8432112467628562,0.4057409001258566
Ctr,Cer(d20:1_24:3),0.4854231166150671,-0.13311672554862863,0.8432112467628562,0.31387954563337733
Ctr,Cer(d23:2),0.816795665634675,-2.1169218768465634,0.9699448529411766,0.08788657546633227
Ctr,Cer(d23:3),0.45463225696633414,-2.245487832220984,0.8432112467628562,0.34233975345725576
Ctr,Cer(m10:0_13:1),0.5355521155830754,-2.9974841873493205,0.8432112467628562,0.27119826068219915
Ctr,Cer(m13:0_7:0),0.877296181630547,-0.36964187538849896,0.9906045751633988,0.05685376082377204
Ctr,Cer(m13:1_10:1),0.7212961033881643,-2.8703536023016514,0.929127184025432,0.1418864139047068
Ctr,Cer(m18:0_24:0),0.18268833849329205,-0.7125287278165616,0.640235294117647,0.7382891737543027
Ctr,Cer(m18:1_22:0),0.13480392156862744,-1.428534112045056,0.6297213622291021,0.8702974732734685
Ctr,Cer(m18:1_24:0),0.13480392156862744,-1.4994509989290281,0.6297213622291021,0.8702974732734685
Ctr,Cer(m18:1_24:1),0.6991744066047472,-0.3247135319018017,0.9161595672751859,0.15541447744220666
Ctr,Cer(m18:2_22:0),0.18268833849329205,-0.4125205171809947,0.640235294117647,0.7382891737543027
Ctr,Cer(m18:2_24:0),0.09680082559339526,-0.3615745687853092,0.6297213622291021,1.0141209382230534
Ctr,Cer(m18:2_24:1),0.018601651186790504,0.742113060022056,0.4485294117647059,1.7304485013245894
Ctr,Cer(m20:1_24:2),0.5151291292433172,-1.646471987204176,0.8432112467628562,0.28808389109132293
Ctr,Cer(m20:2_18:0),0.15743034055727553,0.4149528973557263,0.6297213622291021,0.802911564796475
Ctr,Cer(m20:2_24:0),0.21060371517027865,0.21439642757765498,0.640235294117647,0.6765339716730935
Ctr,Cer(m38:1),0.1102857643892408,-1.8404599902922516,0.6297213622291021,0.9574805419819313
Ctr,Cer(t13:2_22:0),0.938467492260062,-0.31756323705663236,0.9906045751633988,0.02758076633848699
Ctr,Cer(t15:0_26:1),0.11462848297213622,-1.6311544287143378,0.6297213622291021,0.9407074547589854
Ctr,Cer(t16:1),0.20241902749625362,-11.519981829640704,0.640235294117647,0.6937486657865263
Ctr,Cer(t17:0_23:0),0.437796697626419,-0.18184953064130752,0.8432112467628562,0.3587275186123147
Ctr,Cer(t17:0_26:1),0.06749226006191951,-1.6751454283584457,0.6297213622291021,1.170746028083025
Ctr,Cer(t17:2_6:0),0.6426470588235295,-1.7152128677540137,0.8568627450980393,0.19202747566823541
Ctr,Cer(t18:0_24:0),0.6426470588235295,-0.2296990365244889,0.8568627450980393,0.19202747566823541
Ctr,Cer(t18:1_14:0),0.021951721613128798,3.2309272592059153,0.4485294117647059,1.6585314115864354
Ctr,Cer(t18:1_24:0),1.0,0.2297203462402826,1.0,-4.342945178152237e-11
Ctr,Cer(t19:0_19:0),0.938467492260062,-0.7938131821323514,0.9906045751633988,0.02758076633848699
Ctr,Cer(t19:1_21:0),0.938467492260062,-0.22851673695488622,0.9906045751633988,0.02758076633848699
Ctr,Cer(t19:1_23:0),0.014473684210526316,1.008057254382627,0.4485294117647059,1.8394209041219862
Ctr,Cer(t19:2_23:0),0.09680082559339526,0.6751134283416632,0.6297213622291021,1.0141209382230534
Ctr,Cer(t20:0_24:0),0.21060371517027865,-0.19958176964989802,0.640235294117647,0.6765339716730935
Ctr,Cer(t21:1_23:0),0.4854231166150671,-0.041123500814379044,0.8432112467628562,0.31387954563337733
Ctr,Cer(t21:1_23:1),0.08111455108359134,0.5007229176681637,0.6297213622291021,1.0909012304759487
Ctr,Cer(t43:0),0.3506965944272446,-0.6626273408043319,0.8432112467628562,0.4550684513560418
Ctr,Cer(t43:2),1.0,-0.657553673904815,1.0,-4.342945178152237e-11
C18:0,Cer(d13:2_22:1),0.4814603110255284,0.08173014420781441,0.7932977811238681,0.31743950785326386
C18:0,Cer(d17:0_35:1),0.5147267547267547,0.8895811598430111,0.7932977811238681,0.2884232571012273
C18:0,Cer(d17:1_16:0),0.05119827032870511,0.8190236942094126,0.7164732122413281,1.2907447100389502
C18:0,Cer(d17:1_22:0),0.5845352071439027,0.049273869916557196,0.7932977811238681,0.23318932564625744
C18:0,Cer(d17:1_24:1),0.9378728196119499,0.007525987682424745,0.9899768651459472,0.027856050151982257
C18:0,Cer(d17:1_29:1),0.3887328130806392,0.9870327588823729,0.7774656261612783,0.410348798751759
C18:0,Cer(d17:1_39:6),0.4101987030806553,-1.9169647043690523,0.7932977811238681,0.38700571696222996
C18:0,Cer(d17:2_30:6),0.09491481143655056,-0.8622393376003877,0.7164732122413281,1.0226660102633034
C18:0,Cer(d18:0_16:0),0.4814603110255284,0.013335689191012445,0.7932977811238681,0.31743950785326386
C18:0,Cer(d18:0_18:0),0.6209546974764365,0.05646760807828629,0.8136647760036064,0.20694008309273323
C18:0,Cer(d18:0_22:0),0.8556530747835095,0.27082241196649504,0.9705915475156227,0.06770228462629445
C18:0,Cer(d18:0_23:0),0.4493343693343693,-0.19032743991218537,0.7932977811238681,0.3474303610980087
C18:0,Cer(d18:0_24:0),0.14687701992049818,-0.8171705807698079,0.7164732122413281,0.833046147429479
C18:0,Cer(d18:0_26:0),0.28281837325315584,1.2798033758896867,0.7164732122413281,0.5484923799292724
C18:0,Cer(d18:1_12:0),0.2081602281492303,0.6439651016685791,0.7164732122413281,0.6816022445751154
C18:0,Cer(d18:1_14:0),0.9792669166582209,0.10106089450395327,0.9923238088803306,0.009098917312607646
C18:0,Cer(d18:1_16:0),0.41842370190196276,0.2475432803912068,0.7932977811238681,0.3783837224268474
C18:0,Cer(d18:1_17:2),0.4814603110255284,0.24354620300611887,0.7932977811238681,0.31743950785326386
C18:0,Cer(d18:1_18:0),0.21703771268988659,0.18122305977796624,0.7164732122413281,0.6634647959510547
C18:0,Cer(d18:1_22:0),0.5845352071439027,-0.20347406923111855,0.7932977811238681,0.23318932564625744
C18:0,Cer(d18:1_22:2),0.2321185076415878,2.37169471205406,0.7164732122413281,0.6342902301188685
C18:0,Cer(d18:1_22:3),0.1626098217402565,0.2538794999485878,0.7164732122413281,0.7888532260100934
C18:0,Cer(d18:1_23:0),0.4814603110255284,-0.157424776688846,0.7932977811238681,0.31743950785326386
C18:0,Cer(d18:1_24:0),0.2376703489746968,-0.34970150916473103,0.7164732122413281,0.6240249959599496
C18:0,Cer(d18:1_24:1),0.21703771268988659,0.46840795498443905,0.7164732122413281,0.6634647959510547
C18:0,Cer(d18:1_24:3),0.7353319144623491,0.06612760130321359,0.9202043849869936,0.13351658455520587
C18:0,Cer(d18:1_26:1),0.6209546974764365,-0.1580083599097095,0.8136647760036064,0.20694008309273323
C18:0,Cer(d18:2_16:0),0.5491156830287265,0.08599534949074016,0.7932977811238681,0.2603361523587362
C18:0,Cer(d18:2_22:0),0.7749089557785209,-0.0010801568774786807,0.9202043849869936,0.11074931979337202
C18:0,Cer(d18:2_24:1),0.3887328130806392,0.754281773355103,0.7774656261612783,0.410348798751759
C18:0,Cer(d19:0_31:4),0.9786355368819896,-3.0147139236694054,0.9923238088803306,0.009379017847528332
C18:0,Cer(d19:1_24:1),0.28281837325315584,0.3877566715525702,0.7164732122413281,0.5484923799292724
C18:0,Cer(d19:1_26:1),0.5491156830287265,-0.26374837898592074,0.7932977811238681,0.2603361523587362
C18:0,Cer(d20:0_18:0),0.5845352071439027,1.830863427172222,0.7932977811238681,0.23318932564625744
C18:0,Cer(d20:0_23:0),0.2596020404716057,0.82842355213791,0.7164732122413281,0.5856918981370562
C18:0,Cer(d20:1_18:0),0.28281837325315584,0.05541420717094312,0.7164732122413281,0.5484923799292724
C18:0,Cer(d20:1_22:2),0.05832235397452788,0.9188943476190069,0.7164732122413281,1.2341649548384992
C18:0,Cer(d20:1_23:0),0.7749089557785209,0.05559656704885707,0.9202043849869936,0.11074931979337202
C18:0,Cer(d20:1_23:3),0.4493343693343693,-0.23074498918471031,0.7932977811238681,0.3474303610980087
C18:0,Cer(d20:1_24:0),0.5147267547267547,0.7060109157878116,0.7932977811238681,0.2884232571012273
C18:0,Cer(d20:1_24:2),0.7353319144623491,0.2734237733586832,0.9202043849869936,0.13351658455520587
C18:0,Cer(d20:1_24:3),0.28281837325315584,-0.24538233492288003,0.7164732122413281,0.5484923799292724
C18:0,Cer(d23:2),0.20183688115853826,-4.0924263161624,0.7164732122413281,0.6949994730665401
C18:0,Cer(d23:3),0.8299751791454019,-6.835304426864939,0.9704325171546238,0.08093489518770923
C18:0,Cer(m10:0_13:1),1.0,-3.1774009328652175,1.0,-4.342945178152237e-11
C18:0,Cer(m13:0_7:0),0.9378728196119499,-0.19423248480572247,0.9899768651459472,0.027856050151982257
C18:0,Cer(m13:1_10:1),0.746875960189392,-4.904913595190686,0.9202043849869936,0.12675151898098555
C18:0,Cer(m18:0_24:0),0.03390245825028433,-1.0284628140840721,0.7164732122413281,1.4697688088985918
C18:0,Cer(m18:1_22:0),0.28281837325315584,-1.3663187927028864,0.7164732122413281,0.5484923799292724
C18:0,Cer(m18:1_24:0),0.03903832077745121,-1.6145523077051982,0.7164732122413281,1.4085088705478692
C18:0,Cer(m18:1_24:1),0.5147267547267547,-0.2247547200514508,0.7932977811238681,0.2884232571012273
C18:0,Cer(m18:2_22:0),0.3887328130806392,-0.2521077980740452,0.7774656261612783,0.410348798751759
C18:0,Cer(m18:2_24:0),0.05119827032870511,-0.5133791075631685,0.7164732122413281,1.2907447100389502
C18:0,Cer(m18:2_24:1),0.8966210600993209,0.17364710433076255,0.9899768651459472,0.04739106446539127
C18:0,Cer(m20:1_24:2),0.2090547079474615,4.8660648088246194,0.7164732122413281,0.6797400474103417
C18:0,Cer(m20:2_18:0),0.21703771268988659,0.03181443003348263,0.7164732122413281,0.6634647959510547
C18:0,Cer(m20:2_24:0),0.5845352071439027,0.3983931362372693,0.7932977811238681,0.23318932564625744
C18:0,Cer(m38:1),0.9788156502004052,-1.244813262177584,0.9923238088803306,0.009299095322732666
C18:0,Cer(t13:2_22:0),0.5491156830287265,0.0699978042539731,0.7932977811238681,0.2603361523587362
C18:0,Cer(t15:0_26:1),0.3887328130806392,-1.5138426962348654,0.7774656261612783,0.410348798751759
C18:0,Cer(t16:1),0.3806510667735905,-11.41376877307376,0.7774656261612783,0.41947294864575446
C18:0,Cer(t17:0_23:0),0.30735448126752474,0.873412029498899,0.7535142121397381,0.5123604502867424
C18:0,Cer(t17:0_26:1),0.179533574316183,-1.4415808937980064,0.7164732122413281,0.7458543224606524
C18:0,Cer(t17:2_6:0),0.24138927400901233,-4.701698760102983,0.7164732122413281,0.6172820312509274
C18:0,Cer(t18:0_24:0),0.9378728196119499,0.3154208575077517,0.9899768651459472,0.027856050151982257
C18:0,Cer(t18:1_14:0),0.7623652057618768,2.4330275675525135,0.9202043849869936,0.11783693299802608
C18:0,Cer(t18:1_24:0),0.9378728196119499,0.13994062301989796,0.9899768651459472,0.027856050151982257
C18:0,Cer(t19:0_19:0),0.14687701992049818,1.3385003473716444,0.7164732122413281,0.833046147429479
C18:0,Cer(t19:1_21:0),0.10633874981701068,0.5901487143538918,0.7164732122413281,0.97330844941337
C18:0,Cer(t19:1_23:0),0.2596020404716057,0.5246424074879341,0.7164732122413281,0.5856918981370562
C18:0,Cer(t19:2_23:0),0.1976581872234046,0.3961060136553096,0.7164732122413281,0.7040851917650605
C18:0,Cer(t20:0_24:0),0.3603220611916264,-0.23462595013677878,0.7774656261612783,0.4433091466925798
C18:0,Cer(t21:1_23:0),0.8556530747835095,0.43233527344484246,0.9705915475156227,0.06770228462629445
C18:0,Cer(t21:1_23:1),0.21703771268988659,0.29920081733311366,0.7164732122413281,0.6634647959510547
C18:0,Cer(t43:0),0.03903832077745121,-1.0525879433546237,0.7164732122413281,1.4085088705478692
C18:0,Cer(t43:2),0.3887328130806392,-0.9706129447175946,0.7774656261612783,0.410348798751759
C18:0+C18:1,Cer(d13:2_22:1),0.6194091949240692,0.09923089389829283,0.7592757873262784,0.20802235190371735
C18:0+C18:1,Cer(d17:0_35:1),0.2877805515105286,1.2571592283314117,0.6075367198555605,0.5409385593001328
C18:0+C18:1,Cer(d17:1_16:0),0.033723967362411296,0.9899124042950885,0.46939373026329545,1.4720613383867285
C18:0+C18:1,Cer(d17:1_22:0),0.2094110440792363,0.24150807206292596,0.48227998030369573,0.6790004176924328
C18:0+C18:1,Cer(d17:1_24:1),0.2094110440792363,0.5342828069471341,0.48227998030369573,0.6790004176924328
C18:0+C18:1,Cer(d17:1_29:1),0.756524050574394,0.28593759768724014,0.8332728672993325,0.12117726075494678
C18:0+C18:1,Cer(d17:1_39:6),0.4002681589366395,-3.850310099483323,0.6760084462041023,0.3976489562468504
C18:0+C18:1,Cer(d17:2_30:6),0.14712340799297322,-0.8529781235676882,0.48227998030369573,0.8323182232831069
C18:0+C18:1,Cer(d18:0_16:0),0.4551233155352149,0.3419385628050257,0.6917874396135266,0.34187091533443004
C18:0+C18:1,Cer(d18:0_18:0),0.4551233155352149,-0.5735376085980026,0.6917874396135266,0.34187091533443004
C18:0+C18:1,Cer(d18:0_22:0),0.05531863254975383,-0.8750975198322829,0.46939373026329545,1.2571285631976832
C18:0+C18:1,Cer(d18:0_23:0),0.023547835332732355,-0.889565995061701,0.46939373026329545,1.6280490079756313
C18:0+C18:1,Cer(d18:0_24:0),0.023547835332732355,-1.066143747571359,0.46939373026329545,1.6280490079756313
C18:0+C18:1,Cer(d18:0_26:0),0.1869206943577653,0.24834110300875625,0.48227998030369573,0.7283426141306307
C18:0+C18:1,Cer(d18:1_12:0),0.32385670540013856,-0.7759710306568784,0.632003262438045,0.48964710638665115
C18:0+C18:1,Cer(d18:1_14:0),0.23370432008875947,0.3867268781430639,0.5223978919631094,0.6313332592945632
C18:0+C18:1,Cer(d18:1_16:0),0.1869206943577653,0.5940124581117346,0.48227998030369573,0.7283426141306307
C18:0+C18:1,Cer(d18:1_17:2),0.12970089915170008,0.5457630073368371,0.46939373026329545,0.8870570128234193
C18:0+C18:1,Cer(d18:1_18:0),0.6194091949240692,0.33737773756675526,0.7592757873262784,0.20802235190371735
C18:0+C18:1,Cer(d18:1_22:0),0.08654624043640063,-0.45460897013313123,0.46939373026329545,1.062751792603806
C18:0+C18:1,Cer(d18:1_22:2),0.5342324850334005,1.801094361871321,0.7592757873262784,0.272269707319449
C18:0+C18:1,Cer(d18:1_22:3),0.49387467350854086,0.26316127948612816,0.7359701016990021,0.30638324432655706
C18:0+C18:1,Cer(d18:1_23:0),0.12970089915170008,-0.31974732505828324,0.46939373026329545,0.8870570128234193
C18:0+C18:1,Cer(d18:1_24:0),0.06454707255622588,-0.4303917691300149,0.46939373026329545,1.1901234491074915
C18:0+C18:1,Cer(d18:1_24:1),0.34926496082102493,0.4147897793203752,0.632003262438045,0.4568449816166929
C18:0+C18:1,Cer(d18:1_24:3),0.6640027275038718,-0.0987683402020765,0.7885032389108478,0.17783013662463715
C18:0+C18:1,Cer(d18:1_26:1),0.2877805515105286,-0.3707938892501153,0.6075367198555605,0.5409385593001328
C18:0+C18:1,Cer(d18:2_16:0),0.12970089915170008,0.1914157823649461,0.46939373026329545,0.8870570128234193
C18:0+C18:1,Cer(d18:2_22:0),0.2094110440792363,0.03550435927524611,0.48227998030369573,0.6790004176924328
C18:0+C18:1,Cer(d18:2_24:1),0.06454707255622588,1.3690623740250683,0.46939373026329545,1.1901234491074915
C18:0+C18:1,Cer(d19:0_31:4),0.5659013900465595,-2.9590667522189946,0.7592757873262784,0.24725923921145002
C18:0+C18:1,Cer(d19:1_24:1),0.00851767098906687,0.8051308557624507,0.46939373026329545,2.0696791342741547
C18:0+C18:1,Cer(d19:1_26:1),0.6640027275038718,0.07008728510926085,0.7885032389108478,0.17783013662463715
C18:0+C18:1,Cer(d20:0_18:0),0.2094110440792363,1.0770129633862806,0.48227998030369573,0.6790004176924328
C18:0+C18:1,Cer(d20:0_23:0),0.12970089915170008,-0.32712050771216894,0.46939373026329545,0.8870570128234193
C18:0+C18:1,Cer(d20:1_18:0),0.8524952037537852,0.06483383322024948,0.8875292532231188,0.06930805567352309
C18:0+C18:1,Cer(d20:1_22:2),0.5761158495712273,-0.15697348232857466,0.7592757873262784,0.2394901766219939
C18:0+C18:1,Cer(d20:1_23:0),0.9013649076578141,-0.018344964804303178,0.9257261213782955,0.04509935403496214
