treatment,species,p,log2FC,q,-log10p
Ctr,PC(10:0CHO_30:6),0.816795665634675,0.014257672399698657,0.9459725957228838,0.08788657546633227
Ctr,PC(10:3CHO_28:2),0.938467492260062,-0.04055687166212221,0.9817813765182186,0.02758076633848699
Ctr,PC(11:1_8:0),0.3826709890288784,-1.0107501964586014,0.7759772876173837,0.4171744610543505
Ctr,PC(11:2_24:0),0.15743034055727553,0.3879283765078778,0.6830467113077794,0.802911564796475
Ctr,PC(12:0_14:0),0.0024251805985552113,-2.2584632202327404,0.32421052631578945,2.615255896871312
Ctr,PC(12:0_16:1),0.018601651186790504,-1.4356142319718102,0.5107655502392344,1.7304485013245894
Ctr,PC(13:0_18:1),0.24135706914344687,-0.3586437998734229,0.704821870627489,0.6173399763627604
Ctr,PC(13:1_16:1),0.24135706914344687,-1.1304979995258417,0.704821870627489,0.6173399763627604
Ctr,PC(13:1_17:1COOH),0.09680082559339526,-1.0267690173264155,0.6826241134751773,1.0141209382230534
Ctr,PC(14:0COOH_22:6),0.4854231166150671,-0.47977581148290976,0.8107417666974455,0.31387954563337733
Ctr,PC(14:0_14:0),0.11462848297213622,-1.43434269986226,0.6826241134751773,0.9407074547589854
Ctr,PC(14:0_15:0),0.21060371517027865,-0.6559241104321896,0.704821870627489,0.6765339716730935
Ctr,PC(14:0_16:0),0.06749226006191951,-0.6320352545975244,0.6826241134751773,1.170746028083025
Ctr,PC(14:0_16:1),0.08111455108359134,-0.8090272000857485,0.6826241134751773,1.0909012304759487
Ctr,PC(14:0_17:0CHO),0.27492260061919505,-1.3070844675988817,0.7351862803075103,0.5607895563945322
Ctr,PC(14:0_18:1),0.5880288957688339,-0.12963548212149728,0.8533590072742834,0.23060133207345127
Ctr,PC(14:0_18:4COOH),1.0,0.09341647702384598,1.0,-4.342945178152237e-11
Ctr,PC(14:0_20:4),0.437796697626419,-0.4712472717834414,0.7923620839170168,0.3587275186123147
Ctr,PC(14:0_20:5),0.27492260061919505,-0.8943695749718612,0.7351862803075103,0.5607895563945322
Ctr,PC(14:0_22:6),0.877296181630547,-0.022592676069754156,0.9711464708282335,0.05685376082377204
Ctr,PC(14:1COOH_16:0),0.938467492260062,-0.17349948596736456,0.9817813765182186,0.02758076633848699
Ctr,PC(14:1COOH_18:0),0.31137770897832817,-0.18241026303765062,0.7448029621793176,0.5067124809483288
Ctr,PC(14:1_16:1),0.05567595459236326,-0.9299646947957849,0.6163198694410444,1.2543323272517963
Ctr,PC(14:1_18:1),0.15743034055727553,-0.6380170989096439,0.6830467113077794,0.802911564796475
Ctr,PC(14:1_20:1),0.3928792569659443,-0.07037306103229807,0.7759772876173837,0.4057409001258566
Ctr,PC(14:1_22:2),0.27492260061919505,0.2816556742717798,0.7351862803075103,0.5607895563945322
Ctr,PC(14:1_4:1COOH),0.27492260061919505,0.4561107985814136,0.7351862803075103,0.5607895563945322
Ctr,PC(15:0_15:0),0.014473684210526316,-0.8214212682584505,0.4921052631578947,1.8394209041219862
Ctr,PC(15:0_16:0),0.27492260061919505,-0.41594092449622666,0.7351862803075103,0.5607895563945322
Ctr,PC(15:0_16:1),0.31137770897832817,-0.472083112959887,0.7448029621793176,0.5067124809483288
Ctr,PC(15:0_24:4),0.816795665634675,-0.024822616103627907,0.9459725957228838,0.08788657546633227
Ctr,PC(15:0_28:1),0.34146615931585256,-1.065006361926096,0.7587799043062201,0.46665233007084883
Ctr,PC(15:1_18:1),0.816795665634675,-0.16198448325805803,0.9459725957228838,0.08788657546633227
Ctr,PC(15:2_22:6),0.09680082559339526,0.5800133795969762,0.6826241134751773,1.0141209382230534
Ctr,PC(15:4COOH_18:0),0.877296181630547,0.17497283214484763,0.9711464708282335,0.05685376082377204
Ctr,PC(16:0CHO),1.0,0.07632262888936259,1.0,-4.342945178152237e-11
Ctr,PC(16:0CHO_18:1),0.938467492260062,-0.2638279281287796,0.9817813765182186,0.02758076633848699
Ctr,PC(16:0_11:0COOH),0.18268833849329205,1.8901761778842259,0.6847216466362758,0.7382891737543027
Ctr,PC(16:0_16:0),0.31137770897832817,-0.23000644464816827,0.7448029621793176,0.5067124809483288
Ctr,PC(16:0_16:0CHO),0.18268833849329205,-0.6830883898418606,0.6847216466362758,0.7382891737543027
Ctr,PC(16:0_16:1),0.437796697626419,-0.16488192369076285,0.7923620839170168,0.3587275186123147
Ctr,PC(16:0_17:0),0.3506965944272446,-0.27635500724605255,0.7587799043062201,0.4550684513560418
Ctr,PC(16:0_17:1),0.3506965944272446,-0.1796470415763654,0.7587799043062201,0.4550684513560418
Ctr,PC(16:0_17:2),0.6426470588235295,-0.2084795004280539,0.8918367346938776,0.19202747566823541
Ctr,PC(16:0_17:2COOH),0.13480392156862744,-0.5725267994412515,0.6826241134751773,0.8702974732734685
Ctr,PC(16:0_18:0),0.029695562435500512,0.523115595287007,0.5654035087719298,1.5273084432864465
Ctr,PC(16:0_18:0CHO),0.4854231166150671,-0.708719831878265,0.8107417666974455,0.31387954563337733
Ctr,PC(16:0_18:1),0.08111455108359134,-0.13799004745162677,0.6826241134751773,1.0909012304759487
Ctr,PC(16:0_18:2),0.3928792569659443,0.1353445792600942,0.7759772876173837,0.4057409001258566
Ctr,PC(16:0_18:3),0.023606811145510834,0.6068194340699365,0.5107655502392344,1.6269626724725796
Ctr,PC(16:0_18:4COOH),0.5355521155830754,0.07440130843353006,0.8358124820247339,0.27119826068219915
Ctr,PC(16:0_20:0COOH),0.3928792569659443,-0.11256175799385995,0.7759772876173837,0.4057409001258566
Ctr,PC(16:0_20:3CHO),0.18268833849329205,-0.6025397460421001,0.6847216466362758,0.7382891737543027
Ctr,PC(16:0_20:4),0.023606811145510834,0.9533581698680812,0.5107655502392344,1.6269626724725796
Ctr,PC(16:0_20:4COOH),0.15743034055727553,0.430479547556223,0.6830467113077794,0.802911564796475
Ctr,PC(16:0_20:5),0.938467492260062,0.1348808721313792,0.9817813765182186,0.02758076633848699
Ctr,PC(16:0_21:6),0.13480392156862744,-0.6581197079568385,0.6826241134751773,0.8702974732734685
Ctr,PC(16:0_22:1),0.5355521155830754,-0.6253028979128764,0.8358124820247339,0.27119826068219915
Ctr,PC(16:0_22:4CHO),0.6426470588235295,-0.16317270054282482,0.8918367346938776,0.19202747566823541
Ctr,PC(16:0_22:6),0.3506965944272446,0.22283843214947707,0.7587799043062201,0.4550684513560418
Ctr,PC(16:0_24:0),0.11462848297213622,-1.029294091062982,0.6826241134751773,0.9407074547589854
Ctr,PC(16:0_24:1),0.5355521155830754,-0.3763526881249621,0.8358124820247339,0.27119826068219915
Ctr,PC(16:0_26:0),0.18268833849329205,-1.4176046348325668,0.6847216466362758,0.7382891737543027
Ctr,PC(16:1COOH_16:0),0.6991744066047472,-0.6466083968024378,0.9270390460831746,0.15541447744220666
Ctr,PC(16:1COOH_18:1),0.4854231166150671,0.2581001162697545,0.8107417666974455,0.31387954563337733
Ctr,PC(16:1_16:0),0.31137770897832817,-0.2043724930761352,0.7448029621793176,0.5067124809483288
Ctr,PC(16:1_16:1),0.31137770897832817,-0.3510604123820943,0.7448029621793176,0.5067124809483288
Ctr,PC(16:1_16:2),0.3928792569659443,-0.49707716550432834,0.7759772876173837,0.4057409001258566
Ctr,PC(16:1_17:1),0.24135706914344687,-0.24651707873212475,0.704821870627489,0.6173399763627604
Ctr,PC(16:1_17:2COOH),0.13480392156862744,-0.45618898896175497,0.6826241134751773,0.8702974732734685
