group,species,p,log2FC,q,-log10p
Resistant,PC(10:0CHO_30:6),0.6943278943278944,-0.14966376812790314,0.8584417602599422,0.15843538673428506
Resistant,PC(10:3CHO_28:2),0.778865578865579,-0.21946067759674456,0.9020438334306948,0.10853748886253317
Resistant,PC(11:1_8:0),0.11788375716644336,0.6310994985591346,0.4129574661948763,0.9285460304902592
Resistant,PC(11:2_24:0),0.1205905205905206,0.5603967716464059,0.4129574661948763,0.9186868296220773
Resistant,PC(12:0_14:0),0.14764858880647386,-0.6667067095249802,0.4521445221445221,0.8307706992783832
Resistant,PC(12:0_16:1),0.46340326340326343,-0.4560396588359432,0.7477286555252657,0.3340409120297112
Resistant,PC(13:0_18:1),0.6125874125874127,-0.29158825074844485,0.8283852511125239,0.2128319312260859
Resistant,PC(13:1_16:1),0.04009324009324009,-1.7549708307936016,0.22993231667930464,1.396928844193964
Resistant,PC(13:1_17:1COOH),0.23185703185703188,-1.006569201364129,0.5659689598151137,0.6347797279164441
Resistant,PC(14:0COOH_22:6),0.0021756021756021756,-1.6853492233867073,0.05177933177933178,2.6624204956001325
Resistant,PC(14:0_14:0),0.151981351981352,-1.396006305910815,0.4521445221445221,0.8182096961670489
Resistant,PC(14:0_15:0),0.005905205905205905,-1.302269401837658,0.07596967596967596,2.2287649472691613
Resistant,PC(14:0_16:0),0.0037296037296037296,-1.1885250418984465,0.06575153241819909,2.428337297884279
Resistant,PC(14:0_16:1),0.280963480963481,-0.8553611337501953,0.6051521128444206,0.5513501249464876
Resistant,PC(14:0_17:0CHO),0.1892773892773893,-0.6146837213284505,0.5005335405335406,0.7229012627141002
Resistant,PC(14:0_18:1),0.09386169386169387,-0.5822841622559195,0.3662144776898876,1.0275116121565775
Resistant,PC(14:0_18:4COOH),0.037073147114728214,-2.617073885997029,0.22993231667930464,1.4309405442652243
Resistant,PC(14:0_20:4),0.0037296037296037296,-1.5728565029331247,0.06575153241819909,2.428337297884279
Resistant,PC(14:0_20:5),0.46340326340326343,-0.4937995230990578,0.7477286555252657,0.3340409120297112
Resistant,PC(14:0_22:6),0.0021756021756021756,-1.2706460583350128,0.05177933177933178,2.6624204956001325
Resistant,PC(14:1COOH_16:0),0.013986013986013986,-2.1543505167776518,0.125610238817786,1.8543060386958752
Resistant,PC(14:1COOH_18:0),0.028904428904428903,-0.7594603025386836,0.19109039109039108,1.5390356055199703
Resistant,PC(14:1_16:1),0.1892773892773893,-0.8526899391497079,0.5005335405335406,0.7229012627141002
Resistant,PC(14:1_18:1),0.1892773892773893,-1.3072439781058565,0.5005335405335406,0.7229012627141002
Resistant,PC(14:1_20:1),0.04009324009324009,-0.38518285069820146,0.22993231667930464,1.396928844193964
Resistant,PC(14:1_22:2),0.6943278943278944,-0.14028543703206722,0.8584417602599422,0.15843538673428506
Resistant,PC(14:1_4:1COOH),0.33566433566433573,0.5296815604145183,0.6315265761906079,0.47409479996009096
Resistant,PC(15:0_15:0),0.054079254079254076,-1.1404525170546214,0.2681429681429681,1.2669693064907541
Resistant,PC(15:0_16:0),0.013986013986013986,-0.874660341919389,0.125610238817786,1.8543060386958752
Resistant,PC(15:0_16:1),0.5358197358197359,-0.3695731257577754,0.7775920556408362,0.2709812940066779
Resistant,PC(15:0_24:4),0.33566433566433573,-0.44903744350444275,0.6315265761906079,0.47409479996009096
Resistant,PC(15:0_28:1),0.18166530051349883,-1.1550544508393124,0.5005335405335406,0.7407280181581577
Resistant,PC(15:1_18:1),0.1892773892773893,0.7038844915845173,0.5005335405335406,0.7229012627141002
Resistant,PC(15:2_22:6),0.778865578865579,-0.038099826020145305,0.9020438334306948,0.10853748886253317
Resistant,PC(15:4COOH_18:0),0.020512820512820513,-0.4707779215017156,0.15498575498575498,1.68797461791737
Resistant,PC(16:0CHO),0.04009324009324009,-0.9143527849448162,0.22993231667930464,1.396928844193964
Resistant,PC(16:0CHO_18:1),0.23185703185703188,0.5174896450343962,0.5659689598151137,0.6347797279164441
Resistant,PC(16:0_11:0COOH),0.9550893550893552,-2.0461864408706103,0.992625617953129,0.01995599527457442
Resistant,PC(16:0_16:0),0.0006216006216006216,-0.9525406533381023,0.026898354171081443,3.206488490045324
Resistant,PC(16:0_16:0CHO),0.6943278943278944,0.2622435912683932,0.8584417602599422,0.15843538673428506
Resistant,PC(16:0_16:1),0.23185703185703188,-0.6110892895963745,0.5659689598151137,0.6347797279164441
Resistant,PC(16:0_17:0),0.1205905205905206,-0.6253818095188823,0.4129574661948763,0.9186868296220773
Resistant,PC(16:0_17:1),0.09386169386169387,-0.4204066634835174,0.3662144776898876,1.0275116121565775
Resistant,PC(16:0_17:2),0.0721056721056721,0.8003285484533728,0.3268790468790469,1.1420305700832218
Resistant,PC(16:0_17:2COOH),0.005905205905205905,-1.518767558533256,0.07596967596967596,2.2287649472691613
Resistant,PC(16:0_18:0),0.33566433566433573,-0.26430495272930654,0.6315265761906079,0.47409479996009096
Resistant,PC(16:0_18:0CHO),1.0,0.3463299616919424,1.0,-4.342945178152237e-11
Resistant,PC(16:0_18:1),0.39689199689199695,-0.07017814936935501,0.6945609945609947,0.40132765820358507
Resistant,PC(16:0_18:2),0.009324009324009324,-0.4527532616465482,0.10567210567210567,2.0303972961989536
Resistant,PC(16:0_18:3),0.0006216006216006216,-1.489526868387537,0.026898354171081443,3.206488490045324
Resistant,PC(16:0_18:4COOH),0.054079254079254076,-0.6133179853441493,0.2681429681429681,1.2669693064907541
Resistant,PC(16:0_20:0COOH),0.6125874125874127,-0.2208832769909258,0.8283852511125239,0.2128319312260859
Resistant,PC(16:0_20:3CHO),0.39689199689199695,-0.3151478464279948,0.6945609945609947,0.40132765820358507
Resistant,PC(16:0_20:4),0.020512820512820513,-0.9341463507950872,0.15498575498575498,1.68797461791737
Resistant,PC(16:0_20:4COOH),0.23185703185703188,0.36848713952390927,0.5659689598151137,0.6347797279164441
Resistant,PC(16:0_20:5),0.013986013986013986,-1.299250614461134,0.125610238817786,1.8543060386958752
Resistant,PC(16:0_21:6),0.778865578865579,-0.0846816125919741,0.9020438334306948,0.10853748886253317
Resistant,PC(16:0_22:1),0.23185703185703188,0.664039458811674,0.5659689598151137,0.6347797279164441
Resistant,PC(16:0_22:4CHO),0.6943278943278944,-0.0930796815437458,0.8584417602599422,0.15843538673428506
Resistant,PC(16:0_22:6),0.5358197358197359,-0.2247816907354606,0.7775920556408362,0.2709812940066779
Resistant,PC(16:0_24:0),0.46340326340326343,-0.6009357393387738,0.7477286555252657,0.3340409120297112
Resistant,PC(16:0_24:1),0.33566433566433573,-0.18176992187964375,0.6315265761906079,0.47409479996009096
Resistant,PC(16:0_26:0),0.054079254079254076,-2.660452234878442,0.2681429681429681,1.2669693064907541
Resistant,PC(16:1COOH_16:0),0.5358197358197359,-0.4240341571493655,0.7775920556408362,0.2709812940066779
Resistant,PC(16:1COOH_18:1),0.280963480963481,-0.41282091167069257,0.6051521128444206,0.5513501249464876
Resistant,PC(16:1_16:0),0.33566433566433573,-0.4954139297501985,0.6315265761906079,0.47409479996009096
Resistant,PC(16:1_16:1),0.9550893550893552,-0.23582829500306646,0.992625617953129,0.01995599527457442
Resistant,PC(16:1_16:2),0.013986013986013986,-0.994098102036992,0.125610238817786,1.8543060386958752
Resistant,PC(16:1_17:1),0.0006216006216006216,1.3973879521610106,0.026898354171081443,3.206488490045324
Resistant,PC(16:1_17:2COOH),0.46340326340326343,-0.5212607859246812,0.7477286555252657,0.3340409120297112
Resistant,PC(16:1_18:1),0.1892773892773893,-0.25951892468589816,0.5005335405335406,0.7229012627141002
