treatment,species,p,log2FC,q,-log10p
Ctr,PI(12:0_16:0),0.27102997929897754,-3.569033683257074,0.7598426212590299,0.5669826679173406
Ctr,PI(14:0_16:0),0.877296181630547,-0.7840270141963604,0.9891954648146599,0.05685376082377204
Ctr,PI(14:0_20:4),0.31137770897832817,-0.7060249309167499,0.7598426212590299,0.5067124809483288
Ctr,PI(15:0_16:0),0.8106895940486856,-1.498120121924304,0.9891954648146599,0.09114540146503387
Ctr,PI(15:1_17:1),0.2845376876938942,-1.2198344366503904,0.7598426212590299,0.5458602019687034
Ctr,PI(16:0_14:1),0.4854231166150671,-1.3883205016799471,0.7727143488974537,0.31387954563337733
Ctr,PI(16:0_16:0),0.877296181630547,-0.10096881728277628,0.9891954648146599,0.05685376082377204
Ctr,PI(16:0_16:1),0.3928792569659443,-1.0373987441186423,0.7661145510835914,0.4057409001258566
Ctr,PI(16:0_16:3),0.31137770897832817,-0.8288271582854867,0.7598426212590299,0.5067124809483288
Ctr,PI(16:0_17:0),0.21060371517027865,-0.3843728189088076,0.7598426212590299,0.6765339716730935
Ctr,PI(16:0_17:1),0.5355521155830754,-0.35775837775089026,0.7735752780644423,0.27119826068219915
Ctr,PI(16:0_18:0),0.5355521155830754,-0.3893753622955635,0.7735752780644423,0.27119826068219915
Ctr,PI(16:0_18:1),0.08111455108359134,-0.48046104031180953,0.7598426212590299,1.0909012304759487
Ctr,PI(16:0_19:3),0.09680082559339526,-0.7291832533054485,0.7598426212590299,1.0141209382230534
Ctr,PI(16:0_20:3),0.877296181630547,0.032458496504854016,0.9891954648146599,0.05685376082377204
Ctr,PI(16:0_20:4),0.6426470588235295,-0.3019461396453978,0.8496011964107678,0.19202747566823541
Ctr,PI(16:0_20:5),0.3506965944272446,-0.5645100992392273,0.7598426212590299,0.4550684513560418
Ctr,PI(16:0_22:6),0.27492260061919505,-0.21421965145050317,0.7598426212590299,0.5607895563945322
Ctr,PI(16:1_18:1),0.5880288957688339,0.025796171263973013,0.8339318885448916,0.23060133207345127
Ctr,PI(16:1_18:2),0.877296181630547,-0.16608835850665962,0.9891954648146599,0.05685376082377204
Ctr,PI(16:1_22:6),0.816795665634675,-0.1531612418526256,0.9891954648146599,0.08788657546633227
Ctr,PI(17:0_18:0),0.5355521155830754,0.1728033782302195,0.7735752780644423,0.27119826068219915
Ctr,PI(17:0_18:1),0.938467492260062,-0.00864712091190937,0.9891954648146599,0.02758076633848699
