treatment,species,p,log2FC,q,-log10p
Ctr,SM(d16:1_16:0),0.15743034055727553,-0.3538986175439574,0.7259287925696594,0.802911564796475
Ctr,SM(d16:1_18:3),0.13480392156862744,-0.5382005035887272,0.7259287925696594,0.8702974732734685
Ctr,SM(d17:1_16:0),0.13480392156862744,-0.3714244442710641,0.7259287925696594,0.8702974732734685
Ctr,SM(d17:1_18:3),0.7573013415892673,0.0011338210974303408,0.8691543621497182,0.1207312737475131
Ctr,SM(d18:0_16:0),0.4854231166150671,-0.10788308243927794,0.8058023735810113,0.31387954563337733
Ctr,SM(d18:1_16:0),0.6426470588235295,-0.04141998870105147,0.8691543621497182,0.19202747566823541
Ctr,SM(d18:1_18:0),0.437796697626419,0.03919791868152453,0.8058023735810113,0.3587275186123147
Ctr,SM(d18:1_18:3),0.27492260061919505,0.1233228697602801,0.7764042459088899,0.5607895563945322
Ctr,SM(d18:1_20:0),0.437796697626419,-0.4076520321781868,0.8058023735810113,0.3587275186123147
Ctr,SM(d18:1_22:0),0.045562435500515995,-0.545478280895131,0.4727102683178534,1.3413930681839925
Ctr,SM(d18:1_23:0),0.816795665634675,-0.053441325059412084,0.8691543621497182,0.08788657546633227
Ctr,SM(d18:1_23:1),0.045562435500515995,0.6069743394391357,0.4727102683178534,1.3413930681839925
Ctr,SM(d18:1_24:0),0.11462848297213622,-0.47072182729191175,0.7259287925696594,0.9407074547589854
Ctr,SM(d18:1_24:1),0.11462848297213622,0.3673075517013493,0.7259287925696594,0.9407074547589854
Ctr,SM(d18:1_24:3),0.029695562435500512,-0.5018730087417468,0.4727102683178534,1.5273084432864465
Ctr,SM(d18:1_25:1),0.31137770897832817,0.5704102218329203,0.7764042459088899,0.5067124809483288
Ctr,SM(d18:1_26:3),0.31137770897832817,-0.33160984406277194,0.7764042459088899,0.5067124809483288
Ctr,SM(d18:1_26:4),0.3928792569659443,0.4357733261486157,0.7764042459088899,0.4057409001258566
Ctr,SM(d18:2_14:0),0.816795665634675,-0.1514635085248317,0.8691543621497182,0.08788657546633227
Ctr,SM(d18:2_16:0),0.27492260061919505,-0.3709137477549193,0.7764042459088899,0.5607895563945322
Ctr,SM(d18:2_16:1),0.3928792569659443,-0.7593487384340943,0.7764042459088899,0.4057409001258566
Ctr,SM(d18:2_18:3),0.06749226006191951,-0.711985316601479,0.5601857585139319,1.170746028083025
Ctr,SM(d18:2_22:0),0.3928792569659443,0.0989570026332074,0.7764042459088899,0.4057409001258566
Ctr,SM(d18:2_24:1),0.21060371517027865,0.4677419600031649,0.7764042459088899,0.6765339716730935
Ctr,SM(d20:0),0.0011609907120743034,-2.3433961239798093,0.09636222910216717,2.9351712171961544
Ctr,SM(d20:1_13:0),0.06749226006191951,-0.6965847806832274,0.5601857585139319,1.170746028083025
Ctr,SM(d20:1_15:0),0.18268833849329205,-0.5793826329421301,0.7764042459088899,0.7382891737543027
Ctr,SM(d20:1_20:3),0.5880288957688339,-0.45132245018632133,0.827227090657851,0.23060133207345127
Ctr,SM(d20:1_24:0),0.816795665634675,0.4203213973496403,0.8691543621497182,0.08788657546633227
Ctr,SM(d20:1_24:1),0.4854231166150671,-0.1144807048973089,0.8058023735810113,0.31387954563337733
Ctr,SM(d22:1_15:0),0.4854231166150671,-1.0685548455815215,0.8058023735810113,0.31387954563337733
Ctr,SM(d24:0_10:1),0.6991744066047472,-0.11153691480481406,0.8691543621497182,0.15541447744220666
Ctr,SM(d30:0),0.8106895940486856,-1.6276669975087033,0.8691543621497182,0.09114540146503387
Ctr,SM(d30:1),0.5355521155830754,-0.3434972852188551,0.827227090657851,0.27119826068219915
Ctr,SM(d31:1),0.5880288957688339,0.017261669282803455,0.827227090657851,0.23060133207345127
Ctr,SM(d32:0),0.5880288957688339,-0.8430786620981474,0.827227090657851,0.23060133207345127
Ctr,SM(d32:5),0.8120221969529438,-0.23096098019308023,0.8691543621497182,0.09043209892896166
Ctr,SM(d33:2),0.6991744066047472,-0.15359995372686824,0.8691543621497182,0.15541447744220666
