group,species,p,log2FC,q,-log10p
Resistant,SM(d16:1_16:0),0.1892773892773893,-0.38317334218435584,0.6284009324009324,0.7229012627141002
Resistant,SM(d16:1_18:3),0.09386169386169387,-0.553402160353592,0.6284009324009324,1.0275116121565775
Resistant,SM(d17:1_16:0),0.46340326340326343,-0.10126907210151527,0.754166095342566,0.3340409120297112
Resistant,SM(d17:1_18:3),0.46340326340326343,-0.23131144504032544,0.754166095342566,0.3340409120297112
Resistant,SM(d18:0_16:0),0.9550893550893552,-0.25315559612114574,0.9786718083014381,0.01995599527457442
Resistant,SM(d18:1_16:0),0.9550893550893552,-0.040387427606473784,0.9786718083014381,0.01995599527457442
Resistant,SM(d18:1_18:0),0.1205905205905206,0.8252495312801722,0.6284009324009324,0.9186868296220773
Resistant,SM(d18:1_18:3),0.23185703185703188,0.33669062639799907,0.6872904872904874,0.6347797279164441
Resistant,SM(d18:1_20:0),0.1892773892773893,1.8016255500358302,0.6284009324009324,0.7229012627141002
Resistant,SM(d18:1_22:0),0.1892773892773893,0.3242256706749494,0.6284009324009324,0.7229012627141002
Resistant,SM(d18:1_23:0),0.09386169386169387,-0.42224924455728824,0.6284009324009324,1.0275116121565775
Resistant,SM(d18:1_23:1),0.151981351981352,-0.38002973170607474,0.6284009324009324,0.8182096961670489
Resistant,SM(d18:1_24:0),0.5358197358197359,-0.11380317479577036,0.7822270037654654,0.2709812940066779
Resistant,SM(d18:1_24:1),0.1892773892773893,-0.39223157693899197,0.6284009324009324,0.7229012627141002
Resistant,SM(d18:1_24:3),0.280963480963481,0.303842528366048,0.7066657248475431,0.5513501249464876
Resistant,SM(d18:1_25:1),0.1892773892773893,-0.6344989072226699,0.6284009324009324,0.7229012627141002
Resistant,SM(d18:1_26:3),0.6125874125874127,-0.29655534977042086,0.7822270037654654,0.2128319312260859
Resistant,SM(d18:1_26:4),0.46340326340326343,-0.3463367361589481,0.754166095342566,0.3340409120297112
Resistant,SM(d18:2_14:0),0.280963480963481,-0.353497330602495,0.7066657248475431,0.5513501249464876
Resistant,SM(d18:2_16:0),0.6125874125874127,-0.3301748023246986,0.7822270037654654,0.2128319312260859
Resistant,SM(d18:2_16:1),0.33566433566433573,-0.424122827395168,0.7453003923559367,0.47409479996009096
Resistant,SM(d18:2_18:3),0.280963480963481,-0.5421738359856475,0.7066657248475431,0.5513501249464876
Resistant,SM(d18:2_22:0),0.280963480963481,-0.09643169811445415,0.7066657248475431,0.5513501249464876
Resistant,SM(d18:2_24:1),0.151981351981352,-0.6336584824199633,0.6284009324009324,0.8182096961670489
Resistant,SM(d20:0),0.5240789974851849,0.3301763125868729,0.7822270037654654,0.28060324425776656
Resistant,SM(d20:1_13:0),0.39689199689199695,-0.6701535562091996,0.754166095342566,0.40132765820358507
Resistant,SM(d20:1_15:0),0.1892773892773893,-1.5710700811425573,0.6284009324009324,0.7229012627141002
Resistant,SM(d20:1_20:3),0.280963480963481,1.7428349742526834,0.7066657248475431,0.5513501249464876
Resistant,SM(d20:1_24:0),0.778865578865579,0.3426529635186731,0.9235120435120435,0.10853748886253317
Resistant,SM(d20:1_24:1),0.46340326340326343,0.6513525648216024,0.754166095342566,0.3340409120297112
Resistant,SM(d22:1_15:0),0.8665112665112666,-0.21647876215132733,0.9786718083014381,0.062225786100332525
Resistant,SM(d24:0_10:1),0.46340326340326343,-0.22156883154609938,0.754166095342566,0.3340409120297112
Resistant,SM(d30:0),0.5992448359443866,-0.5225807124333738,0.7822270037654654,0.22239569978423884
Resistant,SM(d30:1),0.6125874125874127,0.01887168950111679,0.7822270037654654,0.2128319312260859
Resistant,SM(d31:1),0.151981351981352,-0.365866207000533,0.6284009324009324,0.8182096961670489
Resistant,SM(d32:0),0.020512820512820513,-1.117885750873483,0.6284009324009324,1.68797461791737
Resistant,SM(d32:5),0.9550893550893552,0.14718875838631057,0.9786718083014381,0.01995599527457442
Resistant,SM(d33:2),0.151981351981352,-0.3748418349952217,0.6284009324009324,0.8182096961670489
Resistant,SM(d35:1),0.6125874125874127,0.2068985422611289,0.7822270037654654,0.2128319312260859
Resistant,SM(d35:2),0.778865578865579,-0.08670004747811187,0.9235120435120435,0.10853748886253317
Resistant,SM(d36:0),0.1205905205905206,1.1377314761394994,0.6284009324009324,0.9186868296220773
Resistant,SM(d36:2),0.054079254079254076,0.6550904116329315,0.6284009324009324,1.2669693064907541
Resistant,SM(d36:3),0.9550893550893552,-0.21023260604517455,0.9786718083014381,0.01995599527457442
Resistant,SM(d38:0),0.09386169386169387,3.818719132920472,0.6284009324009324,1.0275116121565775
Resistant,SM(d38:1),0.09386169386169387,1.6814463390033119,0.6284009324009324,1.0275116121565775
Resistant,SM(d39:1),0.1892773892773893,0.2925832696551488,0.6284009324009324,0.7229012627141002
Resistant,SM(d40:0),0.5358197358197359,1.1529412333095395,0.7822270037654654,0.2709812940066779
Resistant,SM(d40:1),0.6125874125874127,0.29594446862082446,0.7822270037654654,0.2128319312260859
Resistant,SM(d40:2),0.1892773892773893,1.0083959770222906,0.6284009324009324,0.7229012627141002
Resistant,SM(d40:3),0.35020138917929555,3.770643343587295,0.7453003923559367,0.45568213536526514
Resistant,SM(d40:7),0.013986013986013986,-2.2661095083670184,0.6284009324009324,1.8543060386958752
Resistant,SM(d42:0),0.6012221988088494,0.9438856891909378,0.7822270037654654,0.22096499234722072
Resistant,SM(d42:1),0.46340326340326343,-0.023710456417070806,0.754166095342566,0.3340409120297112
Resistant,SM(d42:2),0.33566433566433573,-0.5119645379010839,0.7453003923559367,0.47409479996009096
Resistant,SM(d42:4),0.151981351981352,-0.7884029507204473,0.6284009324009324,0.8182096961670489
Resistant,SM(d43:0),0.0721056721056721,-1.075625702637193,0.6284009324009324,1.1420305700832218
Resistant,SM(d43:1),1.0,0.026956584156153197,1.0,-4.342945178152237e-11
Resistant,SM(d43:2),0.9550893550893552,-0.13909517671121766,0.9786718083014381,0.01995599527457442
Resistant,SM(d44:0),0.23185703185703188,0.6477237948522876,0.6872904872904874,0.6347797279164441
Resistant,SM(d44:1),0.46340326340326343,0.9911212339887046,0.754166095342566,0.3340409120297112
Resistant,SM(d44:2),0.23185703185703188,-0.5355963863800944,0.6872904872904874,0.6347797279164441
Resistant,SM(d44:3),0.6943278943278944,0.07726187812705977,0.8474884592531653,0.15843538673428506
Resistant,SM(d44:5),0.46340326340326343,-0.3463367361589481,0.754166095342566,0.3340409120297112
Resistant,SM(d44:7),0.9550893550893552,0.10050650086503846,0.9786718083014381,0.01995599527457442
Resistant,SM(d44:8),0.1892773892773893,-0.5391142954861067,0.6284009324009324,0.7229012627141002
Resistant,SM(t18:0_16:1),0.6943278943278944,0.1008230421892181,0.8474884592531653,0.15843538673428506
Resistant,SM(t20:0),0.4436570559117131,-2.517468079186076,0.754166095342566,0.352952606982676
Resistant,SM(t26:3),0.34957480612329817,-4.722424929564603,0.7453003923559367,0.45645987441425584
Resistant,SM(t32:1),0.5358197358197359,-0.34844713807336786,0.7822270037654654,0.2709812940066779
Resistant,SM(t34:0),0.6125874125874127,0.13373808671267232,0.7822270037654654,0.2128319312260859
Resistant,SM(t34:1),0.46340326340326343,-0.23351236297563122,0.754166095342566,0.3340409120297112
Resistant,SM(t34:2),0.33566433566433573,-0.259486719123741,0.7453003923559367,0.47409479996009096
Resistant,SM(t35:2),0.34957480612329817,-11.56665401499231,0.7453003923559367,0.45645987441425584
Resistant,SM(t37:2),0.8616968286082338,-0.09889248809364413,0.9786718083014381,0.06464550537988692
Resistant,SM(t37:3),0.9070384808036948,-0.3605286756553421,0.9786718083014381,0.04237428770327198
Resistant,SM(t38:7),0.6125874125874127,0.06644548571238842,0.7822270037654654,0.2128319312260859
Resistant,SM(t42:0),0.9550893550893552,0.8327068262558791,0.9786718083014381,0.01995599527457442
Resistant,SM(t42:1),0.6943278943278944,-0.36102146801010804,0.8474884592531653,0.15843538673428506
Resistant,SM(t42:8),1.0,0.007806633778270325,1.0,-4.342945178152237e-11
Resistant,SM(t43:4),0.5358197358197359,0.02750713229046883,0.7822270037654654,0.2709812940066779
Resistant,SM(t44:1),0.8665112665112666,0.3937124126389524,0.9786718083014381,0.062225786100332525
Resistant,SM(t48:4),0.39689199689199695,-0.4223668227350107,0.754166095342566,0.40132765820358507
Resistant,SM(t48:5),0.054079254079254076,-0.5852956060968738,0.6284009324009324,1.2669693064907541
Sensitive,SM(d16:1_16:0),0.11568501330321677,-0.29052294241497745,0.32006187013889975,0.9367228987651945
Sensitive,SM(d16:1_18:3),0.1448301337395147,-0.43367438595151486,0.3535559147170506,0.839141067982331
Sensitive,SM(d17:1_16:0),0.7298502540390175,0.017298329313625974,0.8779358128295428,0.13676623641688587
Sensitive,SM(d17:1_18:3),0.19204268011274017,-0.19392910018450157,0.40870621665019063,0.716602241499577
Sensitive,SM(d18:0_16:0),0.4203825652786761,-0.15415489769531804,0.6343955076023657,0.3763553038636943
Sensitive,SM(d18:1_16:0),0.4203825652786761,-0.09929007053880226,0.6343955076023657,0.3763553038636943
Sensitive,SM(d18:1_18:0),0.008109184751252427,0.982952078544145,0.08413279179424392,2.091022799598397
Sensitive,SM(d18:1_18:3),0.30021417820496865,0.1735049447092561,0.5537283731336089,0.5225688010527555
Sensitive,SM(d18:1_20:0),0.16718706529127714,0.9606421890681154,0.38545906719933337,0.7767973252611624
Sensitive,SM(d18:1_22:0),0.10706742793331354,0.23907283705170648,0.32006187013889975,0.970342629792741
Sensitive,SM(d18:1_23:0),0.07133130299929451,-0.36302346472586466,0.2960249074470722,1.1467198420992708
Sensitive,SM(d18:1_23:1),0.11568501330321677,-0.2702579241056879,0.32006187013889975,0.9367228987651945
Sensitive,SM(d18:1_24:0),0.37750834876094097,-0.16697058526960232,0.626663858943162,0.42307343920262797
Sensitive,SM(d18:1_24:1),0.5142205254974737,-0.09420259901099148,0.7233949765472935,0.28885059207314695
Sensitive,SM(d18:1_24:3),0.1448301337395147,0.20398330078366916,0.3535559147170506,0.839141067982331
Sensitive,SM(d18:1_25:1),0.09896649196157843,-0.44652893412009637,0.32006187013889975,1.0045118233421415
Sensitive,SM(d18:1_26:3),0.10706742793331354,-0.2870772361352068,0.32006187013889975,0.970342629792741
Sensitive,SM(d18:1_26:4),0.1448301337395147,-0.4093388236549786,0.3535559147170506,0.839141067982331
Sensitive,SM(d18:2_14:0),0.46599011194048356,-0.13744464223336,0.6785470051063182,0.3316232986143254
Sensitive,SM(d18:2_16:0),0.0913624324056609,-0.2056918325874346,0.32006187013889975,1.0392323459445267
Sensitive,SM(d18:2_16:1),0.7298502540390175,-0.13579764667965363,0.8779358128295428,0.13676623641688587
Sensitive,SM(d18:2_18:3),0.06009426935694701,-0.45095169609359903,0.2771013531459223,1.2211669400086542
Sensitive,SM(d18:2_22:0),0.011329069360860042,-0.5823866672302951,0.10447919521682039,1.9458057604464187
Sensitive,SM(d18:2_24:1),0.015637278202145406,-0.6402121630261998,0.11799037188891533,1.8058388344743777
Sensitive,SM(d20:0),0.7882483606685715,0.10558644338213238,0.8955113447386324,0.1033369237324893
Sensitive,SM(d20:1_13:0),0.0008434151726241524,-0.9356742577124819,0.035001729663902324,3.0739585390143738
Sensitive,SM(d20:1_15:0),0.023586696775152842,-1.8330078332280502,0.13051305548917905,1.6273328742622009
Sensitive,SM(d20:1_20:3),0.3985983702940361,0.17646032558762836,0.6343955076023657,0.3994644811757332
Sensitive,SM(d20:1_24:0),0.7298502540390175,-0.32216055764203366,0.8779358128295428,0.13676623641688587
Sensitive,SM(d20:1_24:1),0.7588773816484746,-0.3199299108819644,0.8871383475608929,0.1198283910768644
Sensitive,SM(d22:1_15:0),0.9388313139132727,-0.6675518890523533,0.9502804762780688,0.027412433265639916
Sensitive,SM(d24:0_10:1),0.4203825652786761,-0.16380709908920948,0.6343955076023657,0.3763553038636943
Sensitive,SM(d30:0),0.16002205379012113,-0.2691319429280659,0.37948087041657297,0.795820159701873
Sensitive,SM(d30:1),0.5649253193062427,-0.2805010034556234,0.7788152737436065,0.24800896016897317
Sensitive,SM(d31:1),0.3374401847412889,-0.15673294892836098,0.5834903194484787,0.4718031997088746
Sensitive,SM(d32:0),0.5142205254974737,-0.3763785601481244,0.7233949765472935,0.28885059207314695
Sensitive,SM(d32:5),0.9082755991609481,-0.3078470194349807,0.9502804762780688,0.04178235293555098
Sensitive,SM(d33:2),0.019256169130045495,-0.35549285733455827,0.12294323367644432,1.7154301059823005
Sensitive,SM(d35:1),0.3985983702940361,0.21003024973341133,0.6343955076023657,0.3994644811757332
Sensitive,SM(d35:2),0.3184710389184273,0.20688136097764248,0.5746325267441188,0.4969300552167253
Sensitive,SM(d36:0),0.0045207427311867755,1.3522780199862372,0.0625369411147504,2.3447901977153576
Sensitive,SM(d36:2),0.06009426935694701,0.6848464463467643,0.2771013531459223,1.2211669400086542
Sensitive,SM(d36:3),0.23426190325782914,-0.6586457671397542,0.46294614215237667,0.6302983324304479
Sensitive,SM(d38:0),0.0031323203525904946,1.330116878387641,0.0625369411147504,2.5041338137684446
Sensitive,SM(d38:1),0.0045207427311867755,1.9676464584031268,0.0625369411147504,2.3447901977153576
Sensitive,SM(d39:1),1.0,-0.0109848094119289,1.0,-4.342945178152237e-11
Sensitive,SM(d40:0),0.5911489427210507,0.25781114226527246,0.7788152737436065,0.2283030827468957
Sensitive,SM(d40:1),0.24969831874098736,0.22044840263528018,0.48197582454655696,0.6025843816396024
Sensitive,SM(d40:2),0.10706742793331354,2.042837137070112,0.32006187013889975,0.970342629792741
Sensitive,SM(d40:3),0.07133130299929451,1.512623693391872,0.2960249074470722,1.1467198420992708
Sensitive,SM(d40:7),0.0002300859457347971,-1.4681378873967807,0.01909713349598816,3.6381097196370686
Sensitive,SM(d42:0),0.6997347561745445,-0.18635252130832541,0.8779358128295428,0.15506655386638693
Sensitive,SM(d42:1),0.9388313139132727,0.008399063974043282,0.9502804762780688,0.027412433265639916
Sensitive,SM(d42:2),0.5911489427210507,-0.09642865135756021,0.7788152737436065,0.2283030827468957
Sensitive,SM(d42:4),0.007234360166596892,-0.8651037212020483,0.08413279179424392,2.1405998674434716
Sensitive,SM(d43:0),0.0035446467792924694,-1.1397380822119423,0.0625369411147504,2.4504270231080847
Sensitive,SM(d43:1),0.017364210554802036,-0.6232392581170917,0.12010245633738076,1.7603449541358502
Sensitive,SM(d43:2),0.17929479635284185,0.897692629899544,0.391617581507523,0.7464323144791453
Sensitive,SM(d44:0),0.2633672627733723,-0.36989143940985936,0.4968064275043159,0.5794382097730492
Sensitive,SM(d44:1),0.7882483606685715,-0.2889813413539211,0.8955113447386324,0.1033369237324893
Sensitive,SM(d44:2),0.7298502540390175,-0.20498090563081944,0.8779358128295428,0.13676623641688587
Sensitive,SM(d44:3),0.07756492794815108,-0.6176179644815373,0.30656614379507335,1.1103346060383026
Sensitive,SM(d44:5),0.1448301337395147,-0.4093388236549786,0.3535559147170506,0.839141067982331
Sensitive,SM(d44:7),0.17929479635284185,0.33714355344978614,0.391617581507523,0.7464323144791453
Sensitive,SM(d44:8),0.847861995726637,-0.20216569062711107,0.9139291642248165,0.07167483091355704
Sensitive,SM(t18:0_16:1),0.8179235493401322,0.12908307612114078,0.8955113447386324,0.08728728753640737
Sensitive,SM(t20:0),0.015447424403147676,-1.8195399770470733,0.11799037188891533,1.811143918654021
Sensitive,SM(t26:3),0.8199862915679043,-0.5296995922214863,0.8955113447386324,0.08619340798548963
Sensitive,SM(t32:1),0.3571204139826262,-0.18963202288433254,0.6049182522562851,0.44718532351195883
Sensitive,SM(t34:0),0.46599011194048356,0.2438119241254474,0.6785470051063182,0.3316232986143254
Sensitive,SM(t34:1),0.11568501330321677,-0.16045367953513476,0.32006187013889975,0.9367228987651945
Sensitive,SM(t34:2),0.0842352721422823,-0.2863549710527788,0.31779670853679226,1.074506016189939
Sensitive,SM(t35:2),0.033677027983316676,-11.952453327652698,0.17469958266345526,1.4726662409243056
Sensitive,SM(t37:2),0.7440919923611463,-0.34606755874758566,0.8822805052282163,0.12837336909320834
Sensitive,SM(t37:3),0.5908085107891399,-0.45892158546113093,0.7788152737436065,0.22855325708797167
Sensitive,SM(t38:7),0.7298502540390175,0.06556214246265775,0.8779358128295428,0.13676623641688587
Sensitive,SM(t42:0),0.878021606681978,-0.32302206896603236,0.9343050430077459,0.0564947966329357
Sensitive,SM(t42:1),0.21951406686887898,-0.4290090457682749,0.44438213536870624,0.6585376439357049
Sensitive,SM(t42:8),0.3374401847412889,-0.48264589197454894,0.5834903194484787,0.4718031997088746
Sensitive,SM(t43:4),0.8179235493401322,-0.04361245840213558,0.8955113447386324,0.08728728753640737
Sensitive,SM(t44:1),0.9388313139132727,-0.02171395827966063,0.9502804762780688,0.027412433265639916
Sensitive,SM(t48:4),0.20544481944306114,-0.3185167114335706,0.4262980003443519,0.6873048053499213
Sensitive,SM(t48:5),0.023586696775152842,-0.628851922733686,0.13051305548917905,1.6273328742622009
